datetime,symbol,Open,High,Low,Close,Volume,Retorno(1M),Retorno(3M),Retorno(6M),Retorno(12M),Volatilidade(%/1M),Volatilidade(%/3M),Volatilidade(%/6M),Volatilidade(%/12M),Sharpe(1M),Sharpe(3M),Sharpe(6M),Sharpe(12M),InfoRatio(1M),InfoRatio(3M),InfoRatio(6M),InfoRatio(12M)
2009-11-09 09:00:00,BMFBOVESPA:ENGI11,6.199761,6.199761,6.199761,6.199761,9216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-11-10 09:00:00,BMFBOVESPA:ENGI11,6.334906,6.334906,6.334906,6.334906,7090.0,-12.925689392047346,-12.925689392047346,-12.925689392047346,-12.925689392047346,9.248001405717002,9.248001405717002,9.248001405717002,9.248001405717002,-1.4691051552295304,-1.6206506417560935,-1.8703721811422016,-2.554120187847663,-1.8037478925236925,-3.7505109413630917,-3.95696106368401,-24.217762858061427
2009-11-11 09:00:00,BMFBOVESPA:ENGI11,6.334906,6.334906,6.334906,6.334906,5311.0,-12.925689392047346,-12.925689392047346,-12.925689392047346,-12.925689392047346,7.84252065537374,7.84252065537374,7.84252065537374,7.84252065537374,-1.7323877280959905,-1.9110921184334788,-2.204838087689711,-3.009336562240169,-2.052258410441707,-4.622990339787054,-4.900520683030194,-11.039326053268981
2009-11-12 09:00:00,BMFBOVESPA:ENGI11,6.334906,6.334906,6.334906,6.334906,8857.0,-12.925689392047346,-12.925689392047346,-12.925689392047346,-12.925689392047346,6.938911822174526,6.938911822174526,6.938911822174526,6.938911822174526,-1.9579851839724205,-2.159961071308098,-2.491135884785621,-3.3983808019943456,-1.7966105298896813,-5.139602787235423,-5.605442995440975,-10.794233708336359
2009-11-13 09:00:00,BMFBOVESPA:ENGI11,6.334906,6.35743,6.334906,6.35743,6019.0,-12.616093358241397,-12.616093358241397,-12.616093358241397,-12.616093358241397,6.248009476895275,6.248009476895275,6.248009476895275,6.248009476895275,-2.1249472421575484,-2.3492575409191545,-2.716138728776252,-3.7214656705861207,-2.4459833369366946,-6.226693469106689,-5.613635415827677,-11.1460678934317
2009-11-16 09:00:00,BMFBOVESPA:ENGI11,6.334906,6.334906,6.334906,6.334906,8686.0,-12.925689392047346,-12.925689392047346,-12.925689392047346,-12.925689392047346,5.782786987863586,5.782786987863586,5.782786987863586,5.782786987863586,-2.3494357598200515,-2.591791716449451,-2.9871999800855025,-4.070984537766458,-2.8806728638137833,-6.573253282691022,-6.77201334070454,-11.265978580766987
2009-11-17 09:00:00,BMFBOVESPA:ENGI11,6.340537,6.351799,6.340537,6.351799,5311.0,-12.693492366692888,-12.693492366692888,-12.693492366692888,-12.693492366692888,5.369304564458386,5.369304564458386,5.369304564458386,5.369304564458386,-2.487117159222163,-2.748136599561751,-3.1729302894547344,-4.337576466873827,-3.7309288097657283,-6.762258519437602,-7.63434491843167,-11.439916581951577
2009-11-18 09:00:00,BMFBOVESPA:ENGI11,6.340537,6.340537,6.30675,6.30675,9039.0,-13.312698179467002,-13.312698179467002,-13.312698179467002,-13.312698179467002,5.107548289650425,5.107548289650425,5.107548289650425,5.107548289650425,-2.735812670913547,-3.010209072660273,-3.4556540921349104,-4.677255468372982,-3.6122442429339996,-6.71855697878503,-8.387074646844962,-10.321600860445884
2009-11-19 09:00:00,BMFBOVESPA:ENGI11,6.25044,6.25044,6.199761,6.199761,10815.0,-14.78327934004528,-14.78327934004528,-14.78327934004528,-14.78327934004528,5.032194070500481,5.032194070500481,5.032194070500481,5.032194070500481,-3.069014484008313,-3.347519814445288,-3.79849954173777,-5.035621779138624,-3.776856369429961,-7.010319196325185,-8.788126146565615,-9.707090425532682
2009-11-23 09:00:00,BMFBOVESPA:ENGI11,6.19413,6.19413,6.19413,6.19413,6906.0,-14.86067834849676,-14.86067834849676,-14.86067834849676,-14.86067834849676,4.885309996138113,4.885309996138113,4.885309996138113,4.885309996138113,-3.1771321593569155,-3.464011164688331,-3.926211019923347,-5.194812702157145,-4.269248530098626,-7.587879114473221,-9.241558075527776,-9.914822647377774
2009-11-24 09:00:00,BMFBOVESPA:ENGI11,6.171606,6.171606,6.143451,6.143451,9749.0,-15.557269424560156,-15.557269424560156,-15.557269424560156,-15.557269424560156,4.830545994829348,4.830545994829348,4.830545994829348,4.830545994829348,-3.357356826864153,-3.647488185498951,-4.113745224872865,-5.393843418665056,-4.396753551038926,-8.264907927084568,-9.493572345467586,-9.97893694035502
2009-11-25 09:00:00,BMFBOVESPA:ENGI11,6.171606,6.222285,6.171606,6.199761,7796.0,-14.78327934004528,-14.78327934004528,-14.78327934004528,-14.78327934004528,4.641412049972593,4.641412049972593,4.641412049972593,4.641412049972593,-3.3274090562155365,-3.6293630429200783,-4.113388779906696,-5.442639116208409,-4.595524840200561,-8.355318679708988,-9.9855569471617,-9.754391557406107
2009-11-26 09:00:00,BMFBOVESPA:ENGI11,6.171606,6.171606,6.143451,6.143451,7090.0,-15.557269424560156,-15.557269424560156,-15.557269424560156,-15.557269424560156,4.59019639339929,4.59019639339929,4.59019639339929,4.59019639339929,-3.533153090474064,-3.838476164328392,-4.326657894049531,-5.667695732317676,-4.561444161381827,-8.238457391904223,-9.05468255184374,-9.168688579751448
