,ALASKA BLACK FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM ACOES II - BDR NIVEL I,Close,Retorno(1M),Retorno(3M),Retorno(6M),Retorno(12M),Volatilidade(%/1M),Volatilidade(%/3M),Volatilidade(%/6M),Volatilidade(%/12M),Sharpe(1M),Sharpe(3M),Sharpe(6M),Sharpe(12M),Beta(1M),Beta(3M),Beta(6M),Beta(12M),Treynor(1M),Treynor(3M),Treynor(6M),Treynor(12M),InfoRatio(1M),InfoRatio(3M),InfoRatio(6M),InfoRatio(12M),Sortino(1M),Sortino(3M),Sortino(6M),Sortino(12M)
2022-01-05,-4.501382049154545,94.82572419140983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-06,-0.0922123305180599,94.73828318120232,-4.589443550379562,-4.589443550379562,-4.589443550379562,-4.589443550379562,2.750916409970509,2.750916409970509,2.750916409970509,2.750916409970509,-1.9218059757785604,-2.349521256242064,-2.8072757465933287,-3.317823764451921,0.3683944463473789,0.0718459410977581,0.0198686299626199,0.0057393578763258,-14.35072555508475,-89.96105389692644,-388.682105064354,-1590.2573137439276,0.4440487076101708,1.0024818902732149,5.745313087076141,2.7232288316670936,-528.6727595548628,-646.333657937082,-772.2580918615799,-912.7055839020919
2022-01-07,2.2396134017019342,96.86005446787084,-2.452615941495491,-2.452615941495491,-2.452615941495491,-2.452615941495491,2.21677478933828,2.21677478933828,2.21677478933828,2.21677478933828,-1.4209382034720903,-1.9567961253164343,-2.528423557968031,-3.1661962305598754,0.2078415176499898,0.0467503693629911,0.0121041990868216,0.0032112338802744,-15.155297277847376,-92.78592613452604,-463.0579487225131,-2185.684457652543,0.3187349090277793,1.7721871872808097,7.310776188754843,4.329928464725094,-314.98999866645573,-433.7776318476301,-560.4945600072526,-701.8743982003024
2022-01-10,-1.90014813134185,95.0195699528829,-4.306160736856011,-4.306160736856011,-4.306160736856011,-4.306160736856011,2.0664713046866985,2.0664713046866985,2.0664713046866985,2.0664713046866985,-2.4212505495127883,-3.0015368197652745,-3.618577349878335,-4.307251829514884,0.2171623176265562,0.121469906305274,0.0174064737292228,0.0036408525036528,-23.040115047166083,-51.06276852159065,-429.5922524939058,-2444.70554597358,0.4387115080195878,2.484547738582072,8.693027473556162,4.190503161692531,-500.34447820250773,-620.2589708005511,-747.7686257312819,-890.0812307751792
2022-01-11,4.642919626629349,99.43125221536413,0.1368273077676604,0.1368273077676604,0.1368273077676604,0.1368273077676604,2.221996774191343,2.221996774191343,2.221996774191343,2.221996774191343,-0.2522311210849415,-0.7969730309406405,-1.3743933754736035,-2.0190648457591256,0.3310876365331596,0.1284755165774645,0.0163066739089588,-0.002283724138579,-1.6927745876287783,-13.78372744506422,-187.27900391106132,1964.4910251513395,1.584311329414502,3.6565280964966953,9.760516106156953,5.779788631469679,-56.04567374014061,-177.08715038676004,-305.3897646772298,-448.63555741599185
2022-01-12,4.463349098794667,103.86921611503882,4.606283486970472,4.606283486970472,4.606283486970472,4.606283486970472,3.2535221778654555,3.2535221778654555,3.2535221778654555,3.2535221778654555,1.201466972745823,0.8259705763424614,0.429182728483875,-0.013965937919321,1.1487342464952497,0.2185331120473186,0.0370129580585834,-0.0172702255363385,3.402875341905784,12.297054497684686,37.72612616557074,2.6310304205116246,2.416444102277847,3.9208477610993,8.060716809293119,5.1037410628712925,390.89994418014055,268.73135883945105,139.63555254790955,-4.543848875520329
2022-01-13,-0.0370327938126857,103.83075044240007,4.5675448576916144,4.5675448576916144,4.5675448576916144,4.5675448576916144,3.661915673617998,3.661915673617998,3.661915673617998,3.661915673617998,1.0568951219727851,0.7201975306483732,0.3654945757921328,-0.0307827942443601,1.480999297809675,0.2900239315573116,0.0538485045708643,-0.012900882111505,2.6132766019852087,9.093396573934449,24.85510649519028,8.737696829324017,2.59049138171716,3.59008496037362,7.4760386058257104,4.611042960931521,387.0260812522548,263.7302625582256,133.84103157155724,-11.272399672118016
2022-01-14,2.1926841991365853,106.10743090119551,6.860380891211272,6.860380891211272,6.860380891211272,6.860380891211272,4.119597526931007,4.119597526931007,4.119597526931007,4.119597526931007,1.49604343767862,1.1940159315762369,0.8767934660945522,0.5222736825705021,1.978355736816466,0.391158750969078,0.1034857030978589,-0.0016674573375108,3.115262200497748,12.575111937676004,34.9037218323457,-1290.3222905303596,2.9272189738470558,3.744977503819709,7.409827301354513,4.700425016071036,616.3096846042206,491.8865078837688,361.20361945523825,215.15573710985905
2022-01-17,-1.213253133589154,104.82007917081584,5.5638939714833775,5.5638939714833775,5.5638939714833775,5.5638939714833775,4.2662212368930525,4.2662212368930525,4.2662212368930525,4.2662212368930525,1.1407307910403872,0.846440709813489,0.5382598364614538,0.193733036952463,2.5929743685974653,0.4668833631458661,0.131242655134993,0.0123875282997184,1.8768445940893164,7.734487062561998,17.496869008909343,66.72097746514717,2.341588985190363,3.41479176033912,7.163649175352382,4.328180868554497,486.6609926314311,361.11033319771366,229.63355452784356,82.65079965343843
2022-01-18,0.3138772017399871,105.14908550217882,5.8952349679288165,5.8952349679288165,5.8952349679288165,5.8952349679288165,4.3082735555876415,4.3082735555876415,4.3082735555876415,4.3082735555876415,1.2065043817884396,0.9124695086236938,0.6054534845556103,0.2621186264779067,3.2809388513856783,0.9186424026056986,0.1487216043674132,0.0161998425609668,1.5842876561275858,4.279323753326519,17.539208561825287,69.70924208872839,1.6959896244123611,2.727677573737732,7.720076735413613,4.664868444731909,519.795092275975,393.1168254283509,260.8459236649327,112.92787468817203
