,BB ACOES CIELO FUNDO DE INVESTIMENTO,Close,Retorno(1M),Retorno(3M),Retorno(6M),Retorno(12M),Volatilidade(%/1M),Volatilidade(%/3M),Volatilidade(%/6M),Volatilidade(%/12M),Sharpe(1M),Sharpe(3M),Sharpe(6M),Sharpe(12M),Beta(1M),Beta(3M),Beta(6M),Beta(12M),Treynor(1M),Treynor(3M),Treynor(6M),Treynor(12M),InfoRatio(1M),InfoRatio(3M),InfoRatio(6M),InfoRatio(12M),Sortino(1M),Sortino(3M),Sortino(6M),Sortino(12M)
2022-01-05,-0.4566482459890331,96.495669767244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-06,-2.257748681736882,94.31704005514086,-2.704086957971932,-2.704086957971932,-2.704086957971932,-2.704086957971932,1.487732881603462,1.487732881603462,1.487732881603462,1.487732881603462,-2.286278030956094,-3.0771518486766887,-3.923570150521157,-4.867607173411578,0.2170569496763614,0.0423314221371347,0.011706539706812,0.0033816131760075,-15.670408195694945,-108.14614193996606,-498.62935354086807,-2141.4924977206288,1.7177506662330762,2.4618420046453813,12.781471482532742,5.096063842516442,-340.1371003140999,-457.79799869631904,-583.722432620817,-724.1699246613289
2022-01-07,-0.4660653736517695,93.87746098999058,-3.157549518639163,-3.157549518639163,-3.157549518639163,-3.157549518639163,1.6338400690214032,1.6338400690214032,1.6338400690214032,1.6338400690214032,-2.3593701959562674,-3.0864158562596216,-3.861993163746763,-4.7273155467247365,-0.0221511290777924,0.0109097394168504,0.0009221746415476,-0.0002186925129054,174.02424726389637,-462.2209296613781,-6842.390684943272,35317.52164962197,0.0688305694855578,1.6837614731377015,6.922727300559644,4.770307097300635,-385.48335638082295,-504.2709895619973,-630.9879177216199,-772.3677559146696
2022-01-10,-1.8540633739041248,92.13691336942404,-4.95306992340531,-4.95306992340531,-4.95306992340531,-4.95306992340531,2.144279510527968,2.144279510527968,2.144279510527968,2.144279510527968,-2.635082758955775,-3.1943125235890144,-3.788962867933979,-4.452647822927821,0.079499106431563,0.1243125571956496,0.0114187261260376,0.0013976515128682,-71.07443369113209,-55.09901050281437,-711.515045915321,-6831.260443962651,0.1590502289488129,2.321586965525412,7.444980926509313,3.8970635136120775,-565.0353968574376,-684.949889455481,-812.4595443862117,-954.7721494301089
2022-01-11,3.313404367162032,95.18978188077485,-1.803780791393964,-1.803780791393964,-1.803780791393964,-1.803780791393964,1.8658159885243453,1.8658159885243453,1.8658159885243453,1.8658159885243453,-1.340467040665193,-1.9891991631846804,-2.676847972497024,-3.444586021799804,0.09376616449206,0.1173804060461341,0.010213384459847,0.000389536867095,-26.67342585794706,-31.619243177353635,-489.01573866815374,-16498.986915541784,0.6356608694681557,3.245134986174142,9.680378609962776,6.042034528410167,-250.10648365630308,-371.1479603029225,-499.4505745933923,-642.6963673321543
2022-01-12,-2.299646465696892,93.00075342604902,-4.061946675872655,-4.061946675872655,-4.061946675872655,-4.061946675872655,1.8945761926577864,1.8945761926577864,1.8945761926577864,1.8945761926577864,-2.512029201826549,-3.1568625202971385,-3.838259271675296,-4.599270636550357,-0.1605420655257854,0.0827385685812128,0.0026633670032564,0.0049583167593568,29.644758247347447,-72.28692346276202,-2730.331429529982,-1757.3844259051896,-0.9861990887426674,1.4226263866543,6.661996963358438,5.711627050510146,-3.8150530891477117,-598.0916574448617,-727.1874637364031,-871.3668651598329
2022-01-13,-0.475237664241257,92.55877881774028,-4.517880439608784,-4.517880439608784,-4.517880439608784,-4.517880439608784,1.9218324666692368,1.9218324666692368,1.9218324666692368,1.9218324666692368,-2.7136415765815154,-3.355194994126362,-4.031056356858889,-4.786134823688904,-0.312331126181718,0.051056945191704,-0.0055472170490555,0.0034906368374948,16.69754964397498,-126.2927628652148,1396.5588353720314,-2635.092025391851,-0.848270661002955,1.066928272539121,5.510820379852955,4.92989776580014,-3.357647824608009,-644.8122671718143,-774.7014981584825,-919.8149294021579
2022-01-14,-0.0059930204639124,92.5532317511846,-4.523602702573399,-4.523602702573399,-4.523602702573399,-4.523602702573399,1.9064220270536605,1.9064220270536605,1.9064220270536605,1.9064220270536605,-2.7385786954063094,-3.391231544328462,-4.0767192620217925,-4.842802953213157,-0.4473315621359967,0.0277413629859498,-0.0191185018345599,0.000523875841955,11.67117903063416,-233.04977906894408,406.51445738196855,-17623.309729710974,-0.9720467676331132,1.0287679596950317,3.7715258687595496,4.516328142863509,-2.824325920628514,-646.5118514946984,-777.1947399232288,-923.242622268608
2022-01-17,4.721913615128304,96.92351540248504,-0.0152896993522178,-0.0152896993522178,-0.0152896993522178,-0.0152896993522178,1.9450717492735807,1.9450717492735807,1.9450717492735807,1.9450717492735807,-0.3663483081214905,-1.0118291726736923,-1.687777392676231,-2.443444914603369,-0.205190532256806,0.0525288501314267,0.0032159201611359,0.0083068313253591,3.472741830161361,-37.46665563655667,-1020.8114508656272,-572.1406259679596,0.2427286260584856,3.213616263174527,5.493978411768281,6.481335220875681,-0.4088618758482598,-196.80803388584587,-328.284812555716,-475.2675674301211
2022-01-18,-3.159108125203902,93.86159675217188,-3.173914806421565,-3.173914806421565,-3.173914806421565,-3.173914806421565,1.9132606483662555,1.9132606483662555,1.9132606483662555,1.9132606483662555,-2.023351525520724,-2.685458212112513,-3.3767958083588225,-4.149916026469558,-0.294884944188849,0.0156893877413914,-0.0002222226941619,0.0069585867542974,13.12782808304874,-327.4813271719942,29073.045676397607,-1141.0177537220832,-1.4149511545753872,0.1803854091327137,4.37384013640512,5.534768679519824,-1.7341477455929397,-513.7981520066872,-646.0690537701055,-793.9871027468661
2022-01-19,1.3893158187344268,95.16563076356653,-1.8286946881659008,-1.8286946881659008,-1.8286946881659008,-1.8286946881659008,1.816145305807747,1.816145305807747,1.816145305807747,1.816145305807747,-1.3908461648180268,-2.0945673845203108,-2.827246963276568,-3.64686070410663,-0.1173757812772731,0.0912081716689503,0.0045904841284197,0.0110232326105752,21.52044234208697,-41.707213876644005,-1118.5511499593383,-600.8427094556599,-1.2353947256196565,0.2610085622509143,4.687321805854934,4.194901268419599,-1.0191923074426001,-380.40387230945726,-513.4691300713946,-662.3228948697991
2022-01-20,2.7670178834663828,97.798880785708,0.8877228862449278,0.8877228862449278,0.8877228862449278,0.8877228862449278,1.944749814695186,1.944749814695186,1.944749814695186,1.944749814695186,0.0979245965917266,-0.5650596847707473,-1.25337365557894,-2.0236007632177,0.3174440835178132,0.6599952386464915,0.027339373964614,0.0282470485017221,0.5999130270927695,-1.665011583270265,-89.1570592503648,-139.32065182118887,-0.8379709258714657,-0.1378113002172692,5.709322602195615,5.690695010126777,0.07603029934869154,-9.988388307312174,-243.7498184430971,-393.53972092846595
2022-01-21,-3.140342391982698,94.72766107350978,-2.280497043857857,-2.280497043857857,-2.280497043857857,-2.280497043857857,1.9290837583350136,1.9290837583350136,1.9290837583350136,1.9290837583350136,-1.5436245710746317,-2.217840176639637,-2.9158641380308747,-3.697201192642976,0.2471837848439784,0.5955430537556923,0.0263777771674993,0.0261924130098809,-12.046830219492309,-7.184030501837564,-213.24564668464623,-272.3006379493876,-1.747314817142189,-1.3536795780160842,4.009747268033316,3.5217296763954846,-1.0099610233678495,-3.2241584972661834,-562.4946150186885,-713.2210772024407
2022-01-24,-0.9241324543495576,93.85225201428322,-3.183554684904641,-3.183554684904641,-3.183554684904641,-3.183554684904641,1.890079571055896,1.890079571055896,1.890079571055896,1.890079571055896,-2.0532673806456048,-2.7473648450834447,-3.4639998788092807,-4.266418180991717,0.1664718446305801,0.4615282724248412,0.021548532921121,0.0203556037064178,-23.31228285891665,-11.25118108289886,-303.8367126450722,-396.14987409739615,-1.5243091068799366,-0.6701347457400539,4.182655320033139,2.846465766967213,-1.2159301459342389,-3.6089152026781233,-654.7235405077521,-806.38698454739
2022-01-25,6.040849011170368,99.52172485204918,2.664980594562599,2.664980594562599,2.664980594562599,2.664980594562599,2.115964973682664,2.115964973682664,2.115964973682664,2.115964973682664,0.9299286963001652,0.3045961574570574,-0.3392945191626216,-1.0604824882322397,0.459202790561203,1.118769843904729,0.0628472669834481,0.0547353328181274,4.285027421085055,0.576092396312702,-11.42349306135602,-40.99625753184606,-0.7036112400073683,-0.2433857614990475,5.534423982718113,4.234853797779307,0.6253666445040124,0.457432866423374,-71.79353183106087,-224.39438003032564
2022-01-26,0.489165997840546,100.00855129048982,3.1671827713207894,3.1671827713207894,3.1671827713207894,3.1671827713207894,2.381626389038254,2.381626389038254,2.381626389038254,2.381626389038254,1.0370638894159696,0.4791325232325827,-0.0986602747001156,-0.7433402107115428,0.6732569113963222,1.6021866132623672,0.0996540834441845,0.0945214701065296,3.6685828015180704,0.7122233151440888,-2.3578754191960893,-18.729698764403462,-1.1043050749577217,-0.3997530443319476,6.023011666765519,3.733240508019066,0.7751922886382668,0.8078707978109774,-23.497191377555858,-177.0358661863866
2022-01-27,-1.7364413157459624,98.27196148660276,1.3757451853884248,1.3757451853884248,1.3757451853884248,1.3757451853884248,2.461866979646492,2.461866979646492,2.461866979646492,2.461866979646492,0.2755880580992157,-0.2664341955516657,-0.8309351679161786,-1.4584139281080477,0.6688059316252555,1.6994878884126423,0.1297533166277742,0.1203729138843821,1.014436487682817,-0.3859548236557134,-15.765699908760356,-29.8274834130403,-1.7586720156993108,-1.302483086264545,4.744569357935479,1.8250706031750656,0.19825432985041336,-0.35350259107203513,-204.56518521198532,-359.04210922657353
2022-01-28,5.764883723252234,103.93722579886465,7.219939018906558,7.219939018906558,7.219939018906558,7.219939018906558,2.944145096499404,2.944145096499404,2.944145096499404,2.944145096499404,2.2154665479948474,1.760329462097662,1.2836650111520571,0.7557847917035637,0.8866676974732431,2.389613761399596,0.2346630881968432,0.1840328105867641,7.356369237680868,2.168829723772088,16.10520034135485,12.090996607660928,-0.1391440847550268,-0.2326474217071263,6.3131381870276,4.269232469835327,1.9601804172402169,2.8542059761072407,377.9296048131182,222.51400885028704
2022-01-31,0.8296552039824823,104.79954640157992,8.109494822683729,8.109494822683729,8.109494822683729,8.109494822683729,3.424042150631624,3.424042150631624,3.424042150631624,3.424042150631624,2.164754536140085,1.7717708054080017,1.3579278912388737,0.9012901399449468,1.0937474000723275,2.7737961195347403,0.3298513239647873,0.2240424072743944,6.776894534354557,2.187117458363564,14.096054795937638,13.774425416437111,-0.0692856290062472,0.4928421010691076,6.809320966683666,5.360867057239617,2.2882506513598306,3.4325694691722792,464.96023371202193,308.6055429120173
2022-02-01,-0.0129456339594935,104.78597943591156,8.591379995252133,8.095499363208523,8.095499363208523,8.095499363208523,3.8748088362922464,3.777052822320759,3.777052822320759,3.777052822320759,2.0372865562154603,1.6009887066473494,1.22221054293654,0.8057636038234439,1.3796927428733732,2.98787911017302,0.4217666927551055,0.29255452779548,5.721633306298821,2.0238499249709823,10.945278183332237,10.40288699982891,-1.0899911308384884,0.2413152044728894,6.788418119165087,3.870216722991369,2.4264896267852967,3.510364517397346,461.6353780668645,304.34116939446847
