,BRADESCO FUNDO DE INVESTIMENTO EM ACOES - PETROBRAS 2010,Close,Retorno(1M),Retorno(3M),Retorno(6M),Retorno(12M),Volatilidade(%/1M),Volatilidade(%/3M),Volatilidade(%/6M),Volatilidade(%/12M),Sharpe(1M),Sharpe(3M),Sharpe(6M),Sharpe(12M),Beta(1M),Beta(3M),Beta(6M),Beta(12M),Treynor(1M),Treynor(3M),Treynor(6M),Treynor(12M),InfoRatio(1M),InfoRatio(3M),InfoRatio(6M),InfoRatio(12M),Sortino(1M),Sortino(3M),Sortino(6M),Sortino(12M)
2022-01-05,-3.86426596691154,96.49189259076728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-06,-0.0772960844277581,96.4173081360044,-3.938575125054984,-3.938575125054984,-3.938575125054984,-3.938575125054984,2.3451584394430705,2.3451584394430705,2.3451584394430705,2.3451584394430705,-1.97677866546406,-2.478496998875091,-3.015451909070424,-3.6143346526767166,0.3161492644292773,0.0616568508442365,0.0170508888235971,0.0049254102196367,-14.663514016370874,-94.27124600849729,-414.7415754364972,-1720.9099416538645,0.7475486755835954,1.3635292852589598,7.223288117927079,3.318755811207111,-463.585917022405,-581.2468154046242,-707.1712493291222,-847.618741369634
2022-01-07,0.4559344006942467,96.8569078120198,-3.50059804325306,-3.50059804325306,-3.50059804325306,-3.50059804325306,1.9622933390347832,1.9622933390347832,1.9622933390347832,1.9622933390347832,-2.139273474009237,-2.7446245233054847,-3.390383878641993,-4.110866567853953,0.0604960280520738,0.0265610382076789,0.0053262746650749,0.0010353920640326,-69.39103646290087,-202.7691228830365,-1249.0770980051475,-7790.986973903063,-0.0444335961925085,1.3373792648896077,6.149639479358353,3.932688559315163,-51.84775264189284,-538.5758420233869,-665.2927701830096,-806.6726083760592
2022-01-10,-0.6078964934493558,96.26811806576708,-4.087214523947695,-4.087214523947695,-4.087214523947695,-4.087214523947695,1.808115404147666,1.808115404147666,1.808115404147666,1.808115404147666,-2.64612455496011,-3.3093260979753927,-4.014533600982304,-4.801610602358676,0.1037989171912868,0.0949185092211605,0.0110522834595881,0.0018061838623886,-46.093915992395225,-63.03979639161085,-656.7638326455865,-4806.745467962537,0.4901134632118601,2.521400004379458,8.148820346336612,4.409179414145306,-68.23473323883539,-598.3643495097195,-725.8740044404502,-868.1866094843474
2022-01-11,2.9490025747098247,99.10706734615124,-1.2587440107830108,-1.2587440107830108,-1.2587440107830108,-1.2587440107830108,1.7417181831160415,1.7417181831160415,1.7417181831160415,1.7417181831160415,-1.1230450912860208,-1.8179995208830568,-2.554643459806221,-3.377083014766177,0.1527993183833178,0.0948025961066096,0.010162929989219,-0.0008026299253365,-12.801287837195162,-33.4003809226645,-437.8136000191912,7328.317456198273,0.9070601923536952,3.212363381890373,9.89989769840854,6.12764140433217,-31.188835173341822,-316.64428224182717,-444.94689653229693,-588.192689271059
2022-01-12,3.03608579946344,102.1160429441124,1.739125240517438,1.739125240517438,1.739125240517438,1.739125240517438,2.278914049216535,2.278914049216535,2.278914049216535,2.278914049216535,0.4571656380399886,-0.0789168236162097,-0.6453963112297211,-1.2780634426338089,0.6431160784182829,0.1477768095585929,0.0225036041844549,-0.0098249969185206,1.619989346107994,-1.2170019003368446,-65.35854029951095,296.447597832611,1.321921499374621,4.064161221196082,9.998290286100444,5.891783297273265,18.197688402021598,-17.984465805852356,-147.08027209739387,-291.25967352082375
2022-01-13,2.006988499789286,104.16550018244064,3.781017783880862,3.781017783880862,3.781017783880862,3.781017783880862,2.8867299808561686,2.8867299808561686,2.8867299808561686,2.8867299808561686,1.068244608661735,0.6411322028888155,0.1911793778998124,-0.3115120141112837,1.0046485034364674,0.2188358982405388,0.0402140964486799,-0.0064813674765192,3.069465318630026,8.457367217407715,13.723626554910112,138.7440341547912,2.4722717345379106,4.13240118697552,9.200734929237644,5.471702728931308,58.17882766115949,185.07755517715034,55.188324190481985,-89.92510705319327
2022-01-14,3.706544976428061,108.02644129662406,7.627707885035213,7.627707885035213,7.627707885035213,7.627707885035213,3.818610969962341,3.818610969962341,3.818610969962341,3.818610969962341,1.814907015766127,1.4890734137072112,1.1468471710852266,0.7643838002569079,1.6412383747969044,0.3368031284377835,0.1011721549699431,0.0061885296597089,4.2226796218579485,16.882836270067546,43.28624995362978,471.66039841842365,2.978464610563582,4.012454628458589,8.256081307129897,5.211299012627372,139.77962214448038,568.6192072661629,437.93631883763237,291.88843649225316
2022-01-17,0.1496100950542978,108.18805975813171,7.788729801106779,7.788729801106779,7.788729801106779,7.788729801106779,4.321915470094835,4.321915470094835,4.321915470094835,4.321915470094835,1.64081084070395,1.3503131197224645,1.0461036098891194,0.706016544578747,2.4937008604022632,0.4287088827444313,0.1489352542989149,0.0268725786119517,2.843743557434463,13.61282538453851,30.3566230586869,113.54860544721552,2.6296624822207937,3.6129388557041255,7.7149534242969455,4.764164474650161,151.70332975668794,583.5939161600538,452.1171374901837,305.1343826157786
2022-01-18,0.4332687271450863,108.65680478756872,8.255744658721872,8.255744658721872,8.255744658721872,8.255744658721872,4.62802032920164,4.62802032920164,4.62802032920164,4.62802032920164,1.6331952057040082,1.359475001736199,1.0736705057429077,0.7540564192544901,3.607670352278832,1.0714603605909954,0.1791426851686894,0.0320095075638648,2.095108442704141,5.872058525437381,27.737492729682828,109.02349655682804,2.107312717284093,2.958383724871688,7.588403741224482,4.79103529923331,170.4403540521405,629.1677945076565,496.8968927442382,348.97884376747754
