,BRADESCO FUNDO DE INVESTIMENTO EM ACOES CIELO,Close,Retorno(1M),Retorno(3M),Retorno(6M),Retorno(12M),Volatilidade(%/1M),Volatilidade(%/3M),Volatilidade(%/6M),Volatilidade(%/12M),Sharpe(1M),Sharpe(3M),Sharpe(6M),Sharpe(12M),Beta(1M),Beta(3M),Beta(6M),Beta(12M),Treynor(1M),Treynor(3M),Treynor(6M),Treynor(12M),InfoRatio(1M),InfoRatio(3M),InfoRatio(6M),InfoRatio(12M),Sortino(1M),Sortino(3M),Sortino(6M),Sortino(12M)
2022-01-05,-0.4562441952488449,96.30255749858782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-06,-2.273801752458582,94.1128282585225,-2.719671859200367,-2.719671859200367,-2.719671859200367,-2.719671859200367,1.4971915236988158,1.4971915236988158,1.4971915236988158,1.4971915236988158,-2.28224368778674,-3.0681210890395705,-3.909192067142635,-4.847265051242465,0.2183079490614509,0.0425753976612655,0.0117740098983751,0.0034011029735473,-15.651999476242636,-107.8924717213102,-497.0956605229571,-2133.8031233651486,1.700105148197132,2.442589882682447,12.667077201197875,5.065345936022895,-341.69559043694335,-459.3564888191625,-585.2809227436605,-725.7284147841724
2022-01-07,-0.469607684900164,93.67086718454358,-3.1765077560456607,-3.1765077560456607,-3.1765077560456607,-3.1765077560456607,1.6445816470508037,1.6445816470508037,1.6445816470508037,1.6445816470508037,-2.3554876756417187,-3.077784640308653,-3.8482962679123154,-4.70796680142814,-0.022342959786351,0.0109652361644705,0.0009247343782504,-0.0002208894712977,173.37863193851211,-461.6104985889188,-6843.9516941036345,35052.08170885696,0.0621993219829364,1.6685912816305746,6.884480916914503,4.740790904829465,-387.3791801214727,-506.1668133026471,-632.8837414622697,-774.2635796553194
2022-01-10,-1.871142754188904,91.91815154043408,-4.9882135155210685,-4.9882135155210685,-4.9882135155210685,-4.9882135155210685,2.160528352722274,2.160528352722274,2.160528352722274,2.160528352722274,-2.6315311037350595,-3.186555028540076,-3.776733142935419,-4.435426674379164,0.0800866612877882,0.1252356604688372,0.0115019826586558,0.0014078585174691,-70.99181648064373,-54.97349924851234,-709.4202172037947,-6806.696104409636,0.1457340192627516,2.291177083417612,7.382548411010835,3.860393602509667,-568.5497560690135,-688.4642486670568,-815.9739035977876,-958.2865086416848
2022-01-11,3.321970068506541,94.97164502213178,-1.83195040695334,-1.83195040695334,-1.83195040695334,-1.83195040695334,1.879079900029177,1.879079900029177,1.879079900029177,1.879079900029177,-1.3459962251116275,-1.990149124861872,-2.67294400914794,-3.435262805365907,0.0935711805979799,0.1181387488746394,0.0102811664847209,0.0004301799324489,-27.03005814353282,-31.65472170825896,-488.5316631101756,-15005.65879987372,0.6211999329275675,3.210828725004421,9.610434888622176,6.0025435605028985,-252.92344521224067,-373.96492185886007,-502.2675361493299,-645.5133288880919
2022-01-12,-2.30553716828924,92.78203844681082,-4.0952512777056445,-4.0952512777056445,-4.0952512777056445,-4.0952512777056445,1.9088116808457745,1.9088116808457745,1.9088116808457745,1.9088116808457745,-2.510742872629105,-3.15076716924572,-3.827082216911085,-4.582418130192722,-0.1629073398843773,0.0832086673334511,0.0026674127443456,0.0050342902199328,29.418780800645266,-72.2787825958102,-2738.6759903140564,-1737.478943664889,-0.9933440753318332,1.3981438286201255,6.611814034484385,5.667972474572693,-3.800330083827614,-601.4221176281607,-730.5179239197021,-874.6973253431321
2022-01-13,-0.4763213195711491,92.34009781695596,-4.552066042351067,-4.552066042351067,-4.552066042351067,-4.552066042351067,1.9363940605786305,1.9363940605786305,1.9363940605786305,1.9363940605786305,-2.7108893764895816,-3.347618341962581,-4.018397258459852,-4.767797570090185,-0.3156971049872324,0.0513008619800175,-0.0056010698345141,0.0035507824862824,16.62780559147804,-126.35866190679968,1389.2347023382788,-2600.084610203746,-0.8558569026917728,1.0454340191991325,5.471048211119557,4.888717594298978,-3.3409394354899358,-648.2308274460424,-778.1200584327108,-923.2334896763861
2022-01-14,-0.0074390496082599,92.33322859127104,-4.559166461508239,-4.559166461508239,-4.559166461508239,-4.559166461508239,1.921108077910438,1.921108077910438,1.921108077910438,1.921108077910438,-2.736155538107295,-3.383819134711319,-4.064066591536718,-4.824293900060836,-0.4517250309273083,0.0277957200805581,-0.019279672591287,0.000557532789863,11.63639414864122,-233.8734976119136,404.96077519986267,-16623.219566867632,-0.9794418617661276,1.0072135043019868,3.745339683411992,4.476948435146388,-2.81161212499223,-650.0682273881823,-780.7511158167129,-926.7989981620922
2022-01-17,4.72481218323566,96.69580022492624,-0.0497663306999129,-0.0497663306999129,-0.0497663306999129,-0.0497663306999129,1.9550515549977987,1.9550515549977987,1.9550515549977987,1.9550515549977987,-0.3821128777700292,-1.0242988043394123,-1.696796561924215,-2.448606684264291,-0.2110434661144544,0.0524933536182757,0.0029800464114894,0.008303216533295,3.539793908918433,-38.1487718382115,-1113.1788901391258,-576.5419083620117,0.2308918306478796,3.186237539848421,5.460789263392784,6.436137140066054,-0.423827349069341,-200.25569702061537,-331.73247569048544,-478.7152305648906
2022-01-18,-3.168427150637665,93.63206423707332,-3.2166166714038087,-3.2166166714038087,-3.2166166714038087,-3.2166166714038087,1.923734514532012,1.923734514532012,1.923734514532012,1.923734514532012,-2.0345326691427648,-2.6930344836638875,-3.380608058729654,-4.149518986195884,-0.3036299839083929,0.0141826042193678,-0.000545608132103,0.0069358935933675,12.890363020780333,-365.28435151383286,11919.529823751942,-1150.9076350427722,-1.422998765528002,0.162471537683754,4.341099714835376,5.486531150610534,-1.7354033211063356,-518.0683385049116,-650.3392402683298,-798.2572892450905
