,CHARLES RIVER FUNDO DE INVESTIMENTO DE ACOES,Close,Retorno(1M),Retorno(3M),Retorno(6M),Retorno(12M),Volatilidade(%/1M),Volatilidade(%/3M),Volatilidade(%/6M),Volatilidade(%/12M),Sharpe(1M),Sharpe(3M),Sharpe(6M),Sharpe(12M),Beta(1M),Beta(3M),Beta(6M),Beta(12M),Treynor(1M),Treynor(3M),Treynor(6M),Treynor(12M),InfoRatio(1M),InfoRatio(3M),InfoRatio(6M),InfoRatio(12M),Sortino(1M),Sortino(3M),Sortino(6M),Sortino(12M)
2022-01-05,-2.660310967316404,96.07384630711138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-06,0.4288194219415064,96.4858296194825,-2.242899475486797,-2.242899475486797,-2.242899475486797,-2.242899475486797,1.463565318465153,1.463565318465153,1.463565318465153,1.463565318465153,-2.0089185522237205,-2.812851912065908,-3.6732469510557326,-4.632872669624958,0.180037449293052,0.0351117127458055,0.0097099657578566,0.0028048722310524,-16.330955210713103,-117.24841036043888,-553.6617716054392,-2417.404860393259,2.34865561582207,3.1336260676053542,17.274166836741465,6.158409732438203,-294.0183520655863,-411.6792504478055,-537.6036843723035,-678.0511764128154
2022-01-07,0.2087147345876561,96.6872097626875,-2.0388660025864724,-2.0388660025864724,-2.0388660025864724,-2.0388660025864724,1.2102441398848691,1.2102441398848691,1.2102441398848691,1.2102441398848691,-2.2608248679607983,-3.242342805262892,-4.289378886525613,-5.457571596853459,0.0306184200908774,0.0146848628556647,0.0028685960943838,0.0005336890203673,-89.36287501557798,-267.21573215466464,-1809.66420170722,-12376.110039791076,0.5539206070043012,2.787074534660308,10.057008882767022,6.783975538009116,-273.61500477555387,-392.40263795672826,-519.1195661163508,-660.4994043094006
2022-01-10,-0.6993041115010201,96.0110721295214,-2.7239122403034264,-2.7239122403034264,-2.7239122403034264,-2.7239122403034264,1.1491407413343415,1.1491407413343415,1.1491407413343415,1.1491407413343415,-2.9771777837237945,-4.020692196578071,-5.13030088369738,-6.368727126236208,0.0669014648624663,0.0664731213287922,0.007343128059371,0.0011581438251381,-51.13783819989097,-69.50690924531129,-802.8510075126251,-6319.218435867862,1.3222821345372275,4.613965414203593,13.218153184328818,7.2805520908309775,-342.1196285472493,-462.0341211452926,-589.5437760760235,-731.8563811199207
2022-01-11,1.2893291839454646,97.24897090230624,-1.4697032518172608,-1.4697032518172608,-1.4697032518172608,-1.4697032518172608,1.032751986861334,1.032751986861334,1.032751986861334,1.032751986861334,-2.098264950883397,-3.270293455175894,-4.512630588609042,-5.89966052959327,0.0594085639926687,0.0610192501331969,0.0064491507705827,0.001143955355347,-36.47600869890987,-55.34977988225195,-722.6421543151697,-5326.1572711433855,0.9997525139104092,4.536988188184743,15.416999664450934,9.431624498644922,-216.69872969863272,-337.74020634525215,-466.04282063572185,-609.2886133744839
2022-01-12,1.4829442241868884,98.6911188993832,-0.0085539071158629,-0.0085539071158629,-0.0085539071158629,-0.0085539071158629,1.1621805198222972,1.1621805198222972,1.1621805198222972,1.1621805198222972,-0.6073393420781612,-1.6585407970756143,-2.7693476303486486,-4.009941487880141,0.2371507914179828,0.0789776729760641,0.010691839805645,-0.0022952520055937,-2.976325518732411,-24.405933133481945,-301.02226811404046,2030.3983490632395,0.5240226893012812,5.723675087326301,17.353587935468312,9.305931844497636,-70.58379522849295,-192.75238056918244,-321.84818686072396,-466.0275882841538
2022-01-13,0.4417895665284277,99.12712596577084,0.4331978691434018,0.4331978691434018,0.4331978691434018,0.4331978691434018,1.2867915603570037,1.2867915603570037,1.2867915603570037,1.2867915603570037,-0.2052284023003674,-1.1633930537674813,-2.172796868559616,-3.3005119990770675,0.3449177633549711,0.0999919259773401,0.015753091952218,-0.0013624198789283,-0.7656496825705122,-14.97165244427048,-177.48494589590575,3117.2996305736547,1.2573646428409644,6.438476461042745,18.964342297862206,9.17807517951375,-26.40861760256647,-149.70443629659567,-279.593667283264,-424.7070985269393
2022-01-14,0.6312633015182589,99.75287913384253,1.067195789832516,1.067195789832516,1.067195789832516,1.067195789832516,1.4354321426137244,1.4354321426137244,1.4354321426137244,1.4354321426137244,0.2577006141090662,-0.609098818805222,-1.519506803613023,-2.536955681965755,0.4943439088793349,0.1298684528450496,0.0302153269946803,0.0016963576880675,0.7482882625215915,-6.732351109043002,-72.18683773339225,-2146.7334135342226,1.4493241250234117,7.010227018192897,16.138914961698394,9.518116190365769,36.991174466344944,-87.43200225410685,-218.11489068263734,-364.1627730280166
2022-01-17,0.0173299996124365,99.7701663074098,1.0847107344711735,1.0847107344711735,1.0847107344711735,1.0847107344711735,1.5119215503761816,1.5119215503761816,1.5119215503761816,1.5119215503761816,0.2562478782088338,-0.5741567112520358,-1.4437572446736098,-2.415915851962687,0.7057920989025451,0.1565038978639291,0.0411783292790548,0.006639879814188,0.5489246619571501,-5.546698305174558,-53.00962253570752,-550.1116500140313,1.2005586393131111,7.176157782852341,13.82016446573602,9.494389296102693,38.7426689302107,-86.80799050350676,-218.28476917337682,-365.267524047782
2022-01-18,-0.6079940783871529,99.16356960426374,0.4701216790508193,0.4701216790508193,0.4701216790508193,0.4701216790508193,1.4969710340081923,1.4969710340081923,1.4969710340081923,1.4969710340081923,-0.1517480037740022,-0.99797858519306,-1.881568840171196,-2.8696844791271814,0.8502791772423903,0.2645128213303077,0.0441691870538218,0.0071210287951666,-0.267162094754544,-5.6479116100347335,-63.76966025651485,-603.2603807067984,-0.5895460063636189,2.9279756668150685,12.740702433086655,10.21513107903581,-0.6536447124768839,-149.39450345944877,-281.66540522286704,-429.58345419962774
2022-01-19,1.2372982250880682,100.39051869091126,1.7132367113295337,1.7132367113295337,1.7132367113295337,1.7132367113295337,1.571832637577265,1.571832637577265,1.571832637577265,1.571832637577265,0.6463491353165944,-0.1667526919425313,-1.0133139261400648,-1.9603216497348577,0.9540795131378969,0.4767689649097885,0.05600185005049,0.0190723347279814,1.0648511493754584,-0.5497575196588828,-28.44120149213849,-161.55848736662136,-0.3397675504139318,2.783248532180264,13.332552604980329,8.43191799997621,2.6186058385390445,-26.210732359913823,-159.27599012185118,-308.12975492025566
2022-01-20,1.247023227296995,101.64241177699084,2.9816243983553683,2.9816243983553683,2.9816243983553683,2.9816243983553683,1.7619418139778982,1.7619418139778982,1.7619418139778982,1.7619418139778982,1.2964902331416923,0.5647188726479084,-0.1950102265549846,-1.0451512544655,1.081377324227274,1.0203047613698897,0.0763883605971882,0.0349934409203974,2.1124359666212125,0.9752005798001884,-4.49802390880448,-52.62402463830945,-0.3378018486777974,0.8627579406974708,14.371535126849167,9.52186681804531,5.4294449690073145,99.50017948608094,-34.359667232053056,-184.14956971742188
