,FUNDO DE INVESTIMENTO EM ACOES CAIXA PETROBRAS PRE-SAL,Close,Retorno(1M),Retorno(3M),Retorno(6M),Retorno(12M),Volatilidade(%/1M),Volatilidade(%/3M),Volatilidade(%/6M),Volatilidade(%/12M),Sharpe(1M),Sharpe(3M),Sharpe(6M),Sharpe(12M),Beta(1M),Beta(3M),Beta(6M),Beta(12M),Treynor(1M),Treynor(3M),Treynor(6M),Treynor(12M),InfoRatio(1M),InfoRatio(3M),InfoRatio(6M),InfoRatio(12M),Sortino(1M),Sortino(3M),Sortino(6M),Sortino(12M)
2022-01-05,-3.859407694707817,96.50088158526547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-06,-0.0729404604717376,96.43049339787792,-3.929533085435529,-3.929533085435529,-3.929533085435529,-3.929533085435529,2.340726518244282,2.340726518244282,2.340726518244282,2.340726518244282,-1.9766585692697884,-2.479326853946093,-3.0172984321847616,-3.617315097719264,0.3154234602783177,0.0615153012557577,0.0170117440041143,0.0049141026393738,-14.668589097723002,-94.34118009596187,-415.1643977221651,-1723.0298175367063,0.752464759419967,1.3693063845350748,7.248130395693965,3.328238809255227,-462.6817130604596,-580.3426114426787,-706.2670453671767,-846.7145374076886
2022-01-07,0.4584161346795845,96.87254633836493,-3.4891305644371555,-3.4891305644371555,-3.4891305644371555,-3.4891305644371555,1.9578961164643849,1.9578961164643849,1.9578961164643849,1.9578961164643849,-2.1382210089706644,-2.744931611143388,-3.3921412720341344,-4.114242087313123,0.060646869997585,0.026533389314875,0.0053264876508169,0.0010372439043453,-69.02935979668742,-202.5482262232161,-1246.8742365328903,-7766.021637918521,-0.0408774017635796,1.3446201722805573,6.17005852234728,3.9458424179183496,-56.310789962538585,-537.4290941417966,-664.1460223014191,-805.5258604944688
2022-01-10,-0.60307659482568,96.28833068458655,-4.0711650294658375,-4.0711650294658375,-4.0711650294658375,-4.0711650294658375,1.802912732978175,1.802912732978175,1.802912732978175,1.802912732978175,-2.644858504470182,-3.309973850346964,-4.017216372951492,-4.8065646450046575,0.1036078320634765,0.0945343699811666,0.0110189850048807,0.0018027141887012,-46.02402134728058,-63.12618364944113,-657.2919871217358,-4807.094022267097,0.4972285054555457,2.534184690689533,8.180216570729844,4.427828039866659,-74.06207913923035,-596.7594000615337,-724.2690549922645,-866.5816600361618
2022-01-11,2.9519382361275603,99.13070273499385,-1.2394050704988984,-1.2394050704988984,-1.2394050704988984,-1.2394050704988984,1.7395214305400826,1.7395214305400826,1.7395214305400826,1.7395214305400826,-1.1133459362249225,-1.8091779881993484,-2.546752197047322,-3.3702303688240702,0.1532517791414137,0.0945279419838715,0.0101383341241828,-0.0008325676330111,-12.637302656570643,-33.292842476895586,-436.9682406177304,7041.575626983707,0.9175282459527648,3.2278236272593257,9.92795012932901,6.14347801616483,-33.63052671587727,-314.7103882134159,-443.0130025038856,-586.2587952426477
2022-01-12,3.0390580750725205,102.1433423613378,1.761986764695755,1.761986764695755,1.761986764695755,1.761986764695755,2.28077392308406,2.28077392308406,2.28077392308406,2.28077392308406,0.4668164208432367,-0.0688288884274571,-0.6348464361771189,-1.2669976545165091,0.6452876293097118,0.1477162771375038,0.0225273084814346,-0.0098833768244146,1.649966109943314,-1.0627341612060572,-64.2749309349988,292.3833890347576,1.3356940349205952,4.074385923571035,10.008053544011204,5.896089772258236,20.253157676048215,-15.698313388020656,-144.79411967956216,-288.97352110299204
2022-01-13,2.0063210742988336,104.19266576512652,3.803658950781027,3.803658950781027,3.803658950781027,3.803658950781027,2.890184249681664,2.890184249681664,2.890184249681664,2.890184249681664,1.0748016864163967,0.6481997536586167,0.1987846999264026,-0.3033058891412619,1.0075231707174996,0.2189353133534568,0.0402778378319166,-0.0065277704907539,3.083179618985616,8.556941728478307,14.264033019908664,134.2893266350924,2.4838821421029613,4.137109926315246,9.200424981001502,5.472896106203003,63.82512064962565,187.34167186716684,57.45244088049848,-87.66099036317678
2022-01-14,3.714903643779533,108.06332290218624,7.659864859520078,7.659864859520078,7.659864859520078,7.659864859520078,3.824256813970439,3.824256813970439,3.824256813970439,3.824256813970439,1.8206363100187,1.4952837440876678,1.15356273845036,0.7716640076646818,1.6455358971806435,0.3371613687218968,0.1013766453564495,0.0061738785068753,4.231193513481082,16.960273559285497,43.51613872554061,477.9882429045346,2.985599963985188,4.014413797220299,8.250343687657875,5.210870266587716,152.93398243390243,571.8349047146494,441.15201628611885,295.10413394073964
2022-01-17,0.1589623015595398,108.23510284741327,7.831003458556659,7.831003458556659,7.831003458556659,7.831003458556659,4.329913891507314,4.329913891507314,4.329913891507314,4.329913891507314,1.6475430209777748,1.357581921104698,1.0539343614436425,0.7144755210202869,2.500914774129793,0.4293147744455049,0.1493220052681055,0.0269352327285942,2.852444028553436,13.692081356022769,30.561101990012244,114.85393554158937,2.636770139001706,3.614685081471489,7.706357137033844,4.763687802052614,166.1980919210597,587.8212819050418,456.3445032351717,309.36174836076657
2022-01-18,0.4388104783540569,108.710049819965,8.30417720064711,8.30417720064711,8.30417720064711,8.30417720064711,4.6380093890804375,4.6380093890804375,4.6380093890804375,4.6380093890804375,1.6401202579251866,1.3669895757280552,1.0818006279117094,0.7628749066205589,3.619629590156931,1.074529313380952,0.1796698523423111,0.0320978073450181,2.101566739360268,5.9003606584291015,27.925672581999752,110.23248228665008,2.116607888485173,2.9621384531505486,7.575822152750062,4.7890878856512185,186.80825839881837,634.0110487001804,501.7401469367621,353.82209796000143
2022-01-19,-0.4737020580997786,108.19508807660654,7.79113808423963,7.79113808423963,7.79113808423963,7.79113808423963,4.78486028849143,4.78486028849143,4.78486028849143,4.78486028849143,1.4825624179942591,1.21545744257134,0.9373610097831422,0.6262677785838356,3.6365201227539226,1.6840707764614913,0.2115911740171641,0.0653861430365045,1.9507259136788209,3.4534142689245484,21.197204904812114,45.82934066067426,1.7829234532232532,2.678632617570257,7.273792858932628,4.113285877316341,182.71211554761229,581.5794049310957,448.5141471691584,299.6603823707539
