,FUNDO DE INVESTIMENTO EM ACOES CAIXA SEGURIDADE,Close,Retorno(1M),Retorno(3M),Retorno(6M),Retorno(12M),Volatilidade(%/1M),Volatilidade(%/3M),Volatilidade(%/6M),Volatilidade(%/12M),Sharpe(1M),Sharpe(3M),Sharpe(6M),Sharpe(12M),Beta(1M),Beta(3M),Beta(6M),Beta(12M),Treynor(1M),Treynor(3M),Treynor(6M),Treynor(12M),InfoRatio(1M),InfoRatio(3M),InfoRatio(6M),InfoRatio(12M),Sortino(1M),Sortino(3M),Sortino(6M),Sortino(12M)
2022-01-05,-1.995397147015032,97.2763480019512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-06,0.6347127177128487,97.8937733540462,-1.3733494687631516,-1.3733494687631516,-1.3733494687631516,-1.3733494687631516,1.0352168059220432,1.0352168059220432,1.0352168059220432,1.0352168059220432,-2.000193101664297,-3.136775291106453,-4.353181682541917,-5.709878088908878,0.1102387057674183,0.0214992479929804,0.0059455077951572,0.0017174509292835,-18.783180549133466,-151.03981770965427,-757.9650035393214,-3441.7063431736547,4.653052104133355,5.341150454523036,44.92627942415394,9.523649149630613,-207.0633513932218,-324.72424977544097,-450.64868369993894,-591.0961757404509
2022-01-07,1.136564417598862,99.00639914903316,-0.2523940525555456,-0.2523940525555456,-0.2523940525555456,-0.2523940525555456,0.942811479695194,0.942811479695194,0.942811479695194,0.942811479695194,-1.0072831294243871,-2.267212985386448,-3.6112454975975794,-5.110801254372594,0.1028576373657295,0.0186673278283637,0.0053681385629068,0.0015544500575333,-9.232937116257634,-114.5077886449549,-634.2466147686309,-3099.824320319056,2.082507263535843,6.806236699124631,25.30977460849669,13.525856573992522,-94.96780977246121,-213.75544295363554,-340.4723711132581,-481.8522093063079
2022-01-10,-1.0026229900640171,98.0137382295304,-1.2524864818230883,-1.2524864818230883,-1.2524864818230883,-1.2524864818230883,0.8396234251483291,0.8396234251483291,0.8396234251483291,0.8396234251483291,-2.3221964378229507,-3.750390185238455,-5.269043084997711,-6.964000619308477,0.0961723346896498,0.0428507023201723,0.0068527191635016,0.0015888152588584,-20.273715235094443,-73.48573728020816,-645.584898012852,-3680.187498274765,3.334709677006963,8.713545737604287,31.946220147330013,14.134582712522556,-194.97705269921548,-314.8915452972588,-442.40120022798965,-584.7138052718868
2022-01-11,-0.5059198827522815,97.51786723999844,-1.75206978643504,-1.75206978643504,-1.75206978643504,-1.75206978643504,0.8210108546841097,0.8210108546841097,0.8210108546841097,0.8210108546841097,-2.983339157612617,-4.457637286023977,-6.020376847364311,-7.765125920065389,0.0287224236793949,0.0317450841522903,0.0055770570357969,0.0039965703361112,-85.27671128816479,-115.28615203895312,-886.2729409524011,-1595.1809006734404,0.9524162206070392,4.806803056968164,21.56109903213452,16.405528237956553,-244.93538316041068,-365.9768598070301,-494.2794740974999,-637.525266836262
2022-01-12,0.7607021370245937,98.25968774007391,-1.0046956817180173,-1.0046956817180173,-1.0046956817180173,-1.0046956817180173,0.744789874938582,0.744789874938582,0.744789874938582,0.744789874938582,-2.2851810747661347,-3.925490502317952,-5.658808994358236,-7.594648971174777,-0.0021528429784391,0.026783078929609,0.0043088171674881,0.0040832175335482,790.5730905284552,-109.16092163929044,-978.1393545798514,-1385.28442606104,0.0007019599740315,4.811027899322993,16.77158377748701,18.149632430225587,-170.19797268870838,-292.3665580293979,-421.46236432093934,-565.6417657443692
2022-01-13,2.013846681690024,100.23848720106638,0.98891796932465,0.98891796932465,0.98891796932465,0.98891796932465,0.9932863926536282,0.9932863926536282,0.9932863926536282,0.9932863926536282,0.2936050733328429,-0.9476866588999576,-2.255358161774984,-3.716300668557901,0.1365049305362412,0.0511101869806225,0.0105575906271714,0.0042449569010723,2.136435094395045,-18.41754684132919,-212.19013426092584,-869.5850090152124,1.3683422449906728,6.787046403195461,20.01702908187397,16.56439152853632,29.163392415558352,-94.13242627847083,-224.02165726513917,-369.1350885088144
2022-01-14,1.2341464655209131,101.47557694794996,2.2352691310108743,2.2352691310108743,2.2352691310108743,2.2352691310108743,1.356953971560514,1.356953971560514,1.356953971560514,1.356953971560514,1.1334099152037602,0.2164799431623092,-0.7465806408178793,-1.822872728879071,0.3565993263952166,0.0894792127295421,0.0308246245450067,0.0078524536398612,4.312922016395706,3.2829224763653446,-32.8657876811714,-315.004010535684,1.8853199097607485,7.225254605196767,19.610010585404407,14.57731891258772,153.79850858418078,29.37533186372898,-101.30755656480147,-247.3554389101807
2022-01-17,-0.366275247840464,101.10389702698632,1.8608066456209,1.8608066456209,1.8608066456209,1.8608066456209,1.476895454502888,1.476895454502888,1.476895454502888,1.476895454502888,0.7878164950026653,-0.0622819940334247,-0.952505999185666,-1.947720348490292,0.584447228398556,0.1144437639540096,0.0436870054858687,0.0128496901063782,1.990808654598298,-0.8037484150058695,-32.20069137123805,-223.8637123163185,1.4943910005112655,7.010502388559141,16.393718005344073,14.16745887941738,116.35226004518336,-9.198399388534106,-140.67517805840416,-287.65793293280933
2022-01-18,-3.4289544679673045,97.63709043259044,-1.631954034961621,-1.631954034961621,-1.631954034961621,-1.631954034961621,1.511036184098299,1.511036184098299,1.511036184098299,1.511036184098299,-1.5414839860507017,-2.379837615042177,-3.2552031632361804,-4.234121143714787,0.3032312997549967,0.0135905974573126,0.0323364836405813,0.0101075533650443,-7.681390681016945,-264.596222491458,-152.11084238201627,-632.9830795783957,-1.225995712448857,0.9359416567367208,7.772382487082526,9.770809093002024,-2.3010125434939472,-359.6020748606928,-491.87297662411106,-639.7910256008718
