,GUEPARDO INSTITUCIONAL FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO DE ACOES,Close,Retorno(1M),Retorno(3M),Retorno(6M),Retorno(12M),Volatilidade(%/1M),Volatilidade(%/3M),Volatilidade(%/6M),Volatilidade(%/12M),Sharpe(1M),Sharpe(3M),Sharpe(6M),Sharpe(12M),Beta(1M),Beta(3M),Beta(6M),Beta(12M),Treynor(1M),Treynor(3M),Treynor(6M),Treynor(12M),InfoRatio(1M),InfoRatio(3M),InfoRatio(6M),InfoRatio(12M),Sortino(1M),Sortino(3M),Sortino(6M),Sortino(12M)
2022-01-05,-3.265533954096589,95.19462060653214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-06,0.5759020517163149,95.74284837972873,-2.7084381794214023,-2.7084381794214023,-2.7084381794214023,-2.7084381794214023,1.7955184584065569,1.7955184584065569,1.7955184584065569,1.7955184584065569,-1.896790427658926,-2.552093623409072,-3.253419935789343,-4.035631287518653,0.2174062220443982,0.0423995388045542,0.0117253770250873,0.0033870546237175,-15.665247261851412,-108.07502481419596,-498.1993785921905,-2139.3367610085293,1.7128040431844047,2.4564476016803094,12.749346610055406,5.087458298876584,-340.5722224590469,-458.23312084126604,-584.1575547657641,-724.6050468062759
2022-01-07,0.1716815762540235,95.90722121097754,-2.5414064925256814,-2.5414064925256814,-2.5414064925256814,-2.5414064925256814,1.4904835802101306,1.4904835802101306,1.4904835802101306,1.4904835802101306,-2.1729125907164657,-2.969886369954124,-3.820059628097349,-4.768609750153158,0.0302727650266414,0.0169620304425643,0.0031762707070143,0.000546656351189,-106.9836380933342,-260.96916194646843,-1792.5852914642903,-13001.83290210392,0.3105356227247918,2.1795438882656715,8.425010375780435,5.6048293845596415,-323.86905376947476,-442.6566869506491,-569.3736151102718,-710.7534533033215
2022-01-10,-1.2436308142098729,94.7144894549454,-3.753431592480176,-3.753431592480176,-3.753431592480176,-3.753431592480176,1.5093753169947928,1.5093753169947928,1.5093753169947928,1.5093753169947928,-2.9487136748139875,-3.743178055196173,-4.587962341086087,-5.530819981869862,0.088159633801803,0.0943948430040391,0.0100003562017199,0.0015222002597025,-50.48473372354479,-59.85348758287486,-692.4710453559646,-5484.221350091947,0.7046889510179991,3.430531338049473,10.2509266234979,5.383093684356538,-445.07156376492424,-564.9860563629676,-692.4957112936983,-834.8083163375957
2022-01-11,1.590773973171622,96.22118290201703,-2.2223662321825417,-2.2223662321825417,-2.2223662321825417,-2.2223662321825417,1.3323941782811508,1.3323941782811508,1.3323941782811508,1.3323941782811508,-2.191281172601707,-3.099732129680854,-4.062680004880864,-5.137780715119298,0.0608616142896678,0.0844758677171934,0.0086526047517979,0.0022471504892214,-47.97194933830837,-48.89047198241693,-625.6025025987383,-3046.3242880017297,0.5207364005953623,3.4291581361810035,12.10393421700886,7.4452353772739155,-291.9650277351608,-413.00650438178025,-541.3091186722501,-684.5549114110121
2022-01-12,2.394164800496368,98.52487659367836,0.1185914582447962,0.1185914582447962,0.1185914582447962,0.1185914582447962,1.5251244965554989,1.5251244965554989,1.5251244965554989,1.5251244965554989,-0.3794395724619533,-1.1804796555280102,-2.026940430258893,-2.972301951558038,0.3135635564440744,0.1100178244103896,0.0147059048774461,-0.0026987247765936,-1.8455352193566632,-16.364425037304642,-210.2105602483291,1679.7305737870438,0.5515084206920399,4.852475434930615,13.924789943685932,7.66105230388801,-57.869258692427024,-180.03784403311653,-309.13365032465805,-453.3130517480879
2022-01-13,0.0263574989728621,98.55084528701455,0.1449802149600509,0.1449802149600509,0.1449802149600509,0.1449802149600509,1.6108799526446715,1.6108799526446715,1.6108799526446715,1.6108799526446715,-0.3428584664563412,-1.108252675327136,-1.9145773848340235,-2.815410690291916,0.4218112796407013,0.1314967766560489,0.0196904650049778,-0.001680110604725,-1.3093624017818295,-13.576469800616858,-156.63186858392166,2699.3988530862694,1.0244807338866109,5.1382075133563605,14.840193714950466,7.427945522085649,-55.23038302090156,-178.52620171493075,-308.4154327015991,-453.52886394527434
2022-01-14,0.988455005946176,99.52497605065632,1.134868285098632,1.134868285098632,1.134868285098632,1.134868285098632,1.7743559157442312,1.7743559157442312,1.7743559157442312,1.7743559157442312,0.2466158204488676,-0.4546142744628629,-1.191123152241858,-2.0142267981872166,0.6020754139518316,0.1678703305963078,0.037124839733253,0.0020183845060366,0.7267930724116464,-4.80518221659292,-56.92890330964043,-1770.700886934594,1.4012013432740744,5.729549531253408,14.307683447978128,7.795204902278374,43.75842399295655,-80.66475272749524,-211.34764115602573,-357.39552350140497
2022-01-17,-1.907756652072512,97.62628169957635,-0.7945388921751075,-0.7945388921751075,-0.7945388921751075,-0.7945388921751075,1.7183496132065417,1.7183496132065417,1.7183496132065417,1.7183496132065417,-0.8681719516672423,-1.5988187215025873,-2.3639527644202367,-3.2193244172245032,0.6710604007806054,0.1858378263601103,0.0361138420472211,0.0026138776741626,-2.223082952903827,-14.783478614077554,-112.48034238696074,-2116.367158955266,-0.0130107490396985,4.8547631735106815,8.818083285713222,6.469706959552469,-191.44854254075773,-274.7329531681348,-406.20973183800487,-553.1924867124101
2022-01-18,0.3958741547457789,98.0127589170643,-0.4018101115528334,-0.4018101115528334,-0.4018101115528334,-0.4018101115528334,1.650999299095275,1.650999299095275,1.650999299095275,1.650999299095275,-0.6657144902025024,-1.4329968683176355,-2.234153488044252,-3.1300839045975337,0.7516931591902991,0.2683449768559069,0.0372892396320429,0.0030493797718287,-1.4621579873173391,-8.816549700010015,-98.91823698283984,-1694.694239248804,-0.9303755980007984,2.038097992967359,8.987244264740037,7.577885048816054,-1.7633335273542,-236.58768251981405,-368.85858428323235,-516.776633259993
