,ITAU ACOES PETROBRAS - FUNDO DE INVESTIMENTO,Close,Retorno(1M),Retorno(3M),Retorno(6M),Retorno(12M),Volatilidade(%/1M),Volatilidade(%/3M),Volatilidade(%/6M),Volatilidade(%/12M),Sharpe(1M),Sharpe(3M),Sharpe(6M),Sharpe(12M),Beta(1M),Beta(3M),Beta(6M),Beta(12M),Treynor(1M),Treynor(3M),Treynor(6M),Treynor(12M),InfoRatio(1M),InfoRatio(3M),InfoRatio(6M),InfoRatio(12M),Sortino(1M),Sortino(3M),Sortino(6M),Sortino(12M)
2022-01-05,-4.100855752464849,97.11290771009632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-06,-0.0996791495201487,97.0161063896166,-4.196447203847894,-4.196447203847894,-4.196447203847894,-4.196447203847894,2.500639905597036,2.500639905597036,2.500639905597036,2.500639905597036,-1.9569915836596896,-2.4275147410277924,-2.931083582117822,-3.492729790059064,0.3368486456619989,0.0656937372293364,0.0181672692420477,0.0052478937909582,-14.527982558455747,-92.4036367674994,-403.4499887919307,-1664.298067071689,0.6161654631923803,1.2083008458266495,6.570248448625684,3.063410311394153,-489.37312490169603,-607.0340232839152,-732.9584572084133,-873.4059492489251
2022-01-07,0.814650658252436,97.80644873893048,-3.4159829303648275,-3.4159829303648275,-3.4159829303648275,-3.4159829303648275,2.0530470877499787,2.0530470877499787,2.0530470877499787,2.0530470877499787,-2.003493733814843,-2.5820855931538254,-3.1992995329397704,-3.8879337052226575,0.0909568518592634,0.0313485282356427,0.0068129114561079,0.0014899765619956,-45.2221783346054,-169.10341906636418,-964.0977475280778,-5357.205726901851,-0.0176749287818714,1.350348971184537,6.185055050233807,3.8907800242434414,-128.08729597960726,-530.1143307345637,-656.8312588941862,-798.2110970872361
2022-01-10,-0.3581352655839365,97.4561693539811,-3.761884356408803,-3.761884356408803,-3.761884356408803,-3.761884356408803,1.8259405743784425,1.8259405743784425,1.8259405743784425,1.8259405743784425,-2.442121317719109,-3.098848564381355,-3.797171701070157,-4.57656511091506,0.1153718822379731,0.0864859337671552,0.011102508168891,0.0019939021937621,-38.65039136988436,-65.42466596697788,-624.4904098600784,-4191.046057047286,0.6238422052257775,2.6182292715977638,8.40817262337604,4.598122638511988,-160.34019260111702,-565.8313327558303,-693.340987686561,-835.6535927304584
2022-01-11,4.1269473721905925,101.47813417417284,0.2098120281901316,0.2098120281901316,0.2098120281901316,0.2098120281901316,2.067058462492033,2.067058462492033,2.067058462492033,2.067058462492033,-0.2358288484938358,-0.8214024006839977,-1.442103830365812,-2.135097257199351,0.239324014757554,0.096644182036553,0.0107778478343242,-0.0038672081688615,-2.03687046397231,-17.568432446383067,-276.5777520866937,1141.229191972031,1.5319954675659646,3.535795792834901,9.281310918488838,5.899957471357593,-19.59716385740893,-169.78867834451293,-298.0912926349827,-441.33708537374474
2022-01-12,3.305672339102084,104.83266878580535,3.522420065472192,3.522420065472192,3.522420065472192,3.522420065472192,2.870960928520043,2.870960928520043,2.870960928520043,2.870960928520043,0.9840384772353764,0.558506439766422,0.1088458226221498,-0.3933532842732309,0.9203995492053384,0.1719992172076511,0.0282289131374761,-0.0160993319953444,3.0694669752308257,9.322427118725884,11.069930409965286,70.14588621317051,2.036607698553698,3.908510560965541,8.454418670829355,5.330070336349936,124.41522204068646,160.34501668962304,31.249210398081527,-112.93019102534835
2022-01-13,2.415306981805565,107.36469955420203,6.022804305047647,6.022804305047647,6.022804305047647,6.022804305047647,3.6509456799574527,3.6509456799574527,3.6509456799574527,3.6509456799574527,1.4586687194810972,1.1209594531644698,0.7651907226141371,0.3677226582704179,1.3949603434715296,0.2669119284614163,0.051904549670444,-0.0112634818393017,3.817685774941366,15.33300552181913,53.823215514042005,-119.19364453985622,2.847240218460612,3.82535206399208,7.529506879987265,4.8925404509852,253.320066052003,409.25620729382894,279.36697630716054,134.2535450634853
2022-01-14,2.092584823448962,109.61139696281484,8.241421417330063,8.241421417330063,8.241421417330063,8.241421417330063,4.335607719196678,4.335607719196678,4.335607719196678,4.335607719196678,1.7400415030072902,1.4530617189056385,1.151644024103803,0.8147872515255873,2.0039481564665875,0.3849212627694395,0.1115050226638779,0.0017049387517981,3.7646369981262446,16.366738380804914,44.77894000992551,2071.979356145055,2.9037371570368107,3.6928375365095496,7.025409298033896,4.697286100087494,383.63048671375714,629.9905604956479,499.3076720671174,353.2597897217381
2022-01-17,-0.3212354510411352,109.25928629738884,7.893711599026758,7.893711599026758,7.893711599026758,7.893711599026758,4.668643920199458,4.668643920199458,4.668643920199458,4.668643920199458,1.5414385155229913,1.2725153301618048,0.9908986960445192,0.6760690423233042,2.824261805127259,0.4766994629949855,0.1540843678585423,0.0212594443012995,2.5480738155340474,12.462613073224734,30.02350749213491,148.46698621773623,2.5571305714735595,3.425612480574252,6.801037811843808,4.380761815494312,388.14745579598326,594.0920959520516,462.6153172821816,315.63256240777645
2022-01-18,0.3447988635244314,109.63601107483716,8.265727890434544,8.265727890434544,8.265727890434544,8.265727890434544,4.850745518299245,4.850745518299245,4.850745518299245,4.850745518299245,1.5602640494566913,1.2991118897118947,1.026430296203368,0.7214915019113449,3.822527283256408,1.0798215731171663,0.1805853418173184,0.0262626028484379,1.9799580969420645,5.835835598836914,27.571186614868235,133.26065544929847,2.061795881050393,2.8322420796222563,6.998416668788593,4.543319005644942,430.29383555333624,630.1661176789237,497.8952159155054,349.97716693874474
