,ORGANON FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM ACOES,Close,Retorno(1M),Retorno(3M),Retorno(6M),Retorno(12M),Volatilidade(%/1M),Volatilidade(%/3M),Volatilidade(%/6M),Volatilidade(%/12M),Sharpe(1M),Sharpe(3M),Sharpe(6M),Sharpe(12M),Beta(1M),Beta(3M),Beta(6M),Beta(12M),Treynor(1M),Treynor(3M),Treynor(6M),Treynor(12M),InfoRatio(1M),InfoRatio(3M),InfoRatio(6M),InfoRatio(12M),Sortino(1M),Sortino(3M),Sortino(6M),Sortino(12M)
2022-01-05,-3.6655141081952336,94.7010138394695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-06,-0.7554901252181834,93.9855570314308,-4.3933116362875255,-4.3933116362875255,-4.3933116362875255,-4.3933116362875255,2.4628732988626894,2.4628732988626894,2.4628732988626894,2.4628732988626894,-2.066933643645956,-2.544671976497072,-3.055962727761653,-3.6262214256222696,0.3526509456136109,0.0687755728074495,0.0190195352124224,0.0054940838613856,-14.435224815855747,-91.12544482653796,-395.72202582573874,-1625.5528947598766,0.52613794057909,1.1009967033734498,6.134546048720106,2.8862867110060595,-509.05956814565917,-626.7204665278783,-752.6449004523764,-893.0923924928884
2022-01-07,0.9729158138976456,94.89995737856938,-3.4631390460531266,-3.4631390460531266,-3.4631390460531266,-3.4631390460531266,2.031791361196273,2.031791361196273,2.031791361196273,2.031791361196273,-2.047662555653662,-2.632307393946679,-3.2559783602658507,-3.951816726808607,0.104774197711506,0.0339177912470926,0.0075426124038526,0.0016992719329511,-39.70847004410235,-157.68418951786515,-877.0792333503875,-4725.121936555706,-0.0321909491503495,1.3007715176711383,6.033740499146955,3.770510640562819,-70.11327471167523,-534.8299423033936,-661.5468704630161,-802.926708656066
2022-01-10,-1.2377982896922823,93.72528732921874,-4.658070659863698,-4.658070659863698,-4.658070659863698,-4.658070659863698,1.967090103480232,1.967090103480232,1.967090103480232,1.967090103480232,-2.722475546777404,-3.3320790031004632,-3.98029361566517,-4.703761263599109,0.147993420115562,0.116220460778226,0.0142407700710372,0.0025320282636058,-36.18643788927229,-56.39712308076815,-549.8014602626226,-3654.272886189233,0.2669054717621628,2.173247253387967,7.52413707498871,3.8676076298589,-104.21263160995578,-655.4499631013198,-782.9596180320506,-925.2722230759477
2022-01-11,2.0455984020576468,95.64253030914918,-2.707757676790941,-2.707757676790941,-2.707757676790941,-2.707757676790941,1.7383396815407557,1.7383396815407557,1.7383396815407557,1.7383396815407557,-1.9587896186906293,-2.655094707574845,-3.393170330267588,-4.217208314672328,0.1286221562825073,0.1061154027986507,0.0124785310112659,0.0026242242675408,-26.473212861407266,-43.49468942961869,-472.6904654085978,-2793.564806710844,0.2620481800886889,2.3913888641210086,9.18011631547475,5.5824589969588025,-74.08146567391833,-461.54564884262015,-589.84826313309,-733.094055871852
2022-01-12,1.4851080352148438,97.06292521185314,-1.2628627684082725,-1.2628627684082725,-1.2628627684082725,-1.2628627684082725,1.722136346578356,1.722136346578356,1.722136346578356,1.722136346578356,-1.1382065174292828,-1.8476078699030367,-2.5972338013691303,-3.4344462654687016,0.287254752296778,0.1200114533525563,0.015766517200485,-0.00068035245627,-6.823722838020129,-26.5127417267167,-283.6892049794015,8693.412788660127,-0.1083283367081788,3.107721213876954,10.323491028315908,6.265094957566495,-17.368556201827094,-318.1832666984234,-447.2790729899649,-591.4584744133948
2022-01-13,-0.7225193947439812,96.36162675209164,-1.9762577347215216,-1.9762577347215216,-1.9762577347215216,-1.9762577347215216,1.6386423334526112,1.6386423334526112,1.6386423334526112,1.6386423334526112,-1.6315590811433809,-2.3839857466637664,-3.176649455729505,-4.06222056713807,0.293194903154336,0.1224242694838984,0.0156102678918976,-0.0004458582859801,-9.118650260039656,-31.909522379013865,-333.4595096474536,14929.691335671212,-0.0915060069786885,2.9037305533826867,10.11052067137297,5.965598614568652,-20.51337604689031,-390.649996683088,-520.5392276697563,-665.6526589134315
2022-01-14,1.32927209210576,97.64253496400632,-0.6732554851514906,-0.6732554851514906,-0.6732554851514906,-0.6732554851514906,1.6677653675455189,1.6677653675455189,1.6677653675455189,1.6677653675455189,-0.8217819826404031,-1.567829233301134,-2.3514100113386283,-3.22712001939762,0.409874280689716,0.147109534101287,0.0268252781716088,0.0019088372352415,-3.343804661308052,-17.774315672325955,-146.19047589079253,-2819.5588947547167,0.2946905048442886,3.885953768817196,9.501269056807043,6.689680491949631,-11.241847925525462,-261.4771297525075,-392.16001818103797,-538.2079005264172
2022-01-17,-1.028659997602588,96.63812526618648,-1.6949899728966444,-1.6949899728966444,-1.6949899728966444,-1.6949899728966444,1.6114536267365502,1.6114536267365502,1.6114536267365502,1.6114536267365502,-1.4845441273482043,-2.26365844594003,-3.0795477553713635,-3.991660598308511,0.4787333458135537,0.1641864980719709,0.0276690669597637,0.0028853562313537,-4.997090841876305,-22.21729956627668,-179.35365895489406,-2229.317779880445,-0.4443594482229542,3.662392714356461,7.250904169264389,5.914699939665012,-7.27810123780034,-364.7780612402886,-496.25483991015864,-643.2375947845637
2022-01-18,0.2154348203361467,96.84631743772992,-1.4832067511633078,-1.4832067511633078,-1.4832067511633078,-1.4832067511633078,1.553875477275788,1.553875477275788,1.553875477275788,1.553875477275788,-1.403259674420727,-2.218500462374424,-3.069732776017162,-4.021662651608523,0.557266364182468,0.238329612618086,0.0290739484098233,0.0032352967497569,-3.9128340349973234,-14.464310275755524,-164.06380087099382,-1931.5578926971584,-1.3113321436409882,1.258460438761857,7.502050974173058,6.8783060278389705,-2.1496470940628973,-344.72734648086146,-476.99824824427975,-624.9162972210404
