,SANTANDER FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO PETROBRAS 2 ACOES,Close,Retorno(1M),Retorno(3M),Retorno(6M),Retorno(12M),Volatilidade(%/1M),Volatilidade(%/3M),Volatilidade(%/6M),Volatilidade(%/12M),Sharpe(1M),Sharpe(3M),Sharpe(6M),Sharpe(12M),Beta(1M),Beta(3M),Beta(6M),Beta(12M),Treynor(1M),Treynor(3M),Treynor(6M),Treynor(12M),InfoRatio(1M),InfoRatio(3M),InfoRatio(6M),InfoRatio(12M),Sortino(1M),Sortino(3M),Sortino(6M),Sortino(12M)
2022-01-05,-4.110836031084975,97.09695230168003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-06,-0.1061221051592897,96.99391097185196,-4.212595630508451,-4.212595630508451,-4.212595630508451,-4.212595630508451,2.5090004402465245,2.5090004402465245,2.5090004402465245,2.5090004402465245,-1.956906661680415,-2.425861933647837,-2.927752773938504,-3.487527454674359,0.3381448792105094,0.0659465345233743,0.0182371790492553,0.0052680883088179,-14.520047404358031,-92.29429117829376,-402.788884119918,-1660.983530686724,0.6084673336155579,1.1991553791211564,6.532623870266226,3.0483337174331187,-490.98796756775175,-608.6488659499709,-734.573299874469,-875.0207919149808
2022-01-07,0.8078482332611214,97.77747456800894,-3.438778776622818,-3.438778776622818,-3.438778776622818,-3.438778776622818,2.061079964660933,2.061079964660933,2.061079964660933,2.061079964660933,-2.006745440598326,-2.5830822893276086,-3.197890692360475,-3.883840973849472,0.0904919035793561,0.0313754112266307,0.0068041339268891,0.0014838149763046,-45.70644066697968,-169.68507966788962,-968.6917550450622,-5394.814680376356,-0.0248263519361247,1.3364669224632095,6.145147229733614,3.866478804180404,-91.35587547511604,-532.3939153603628,-659.1108435199853,-800.4906817130351
2022-01-10,-0.3650276812593556,97.4205597197994,-3.7912539634502105,-3.7912539634502105,-3.7912539634502105,-3.7912539634502105,1.834610693939218,1.834610693939218,1.834610693939218,1.834610693939218,-2.4465888176971378,-3.100212461090204,-3.795235418014903,-4.570945521057681,0.1155777040420691,0.0871583797279762,0.0111557031382748,0.0019979369309816,-38.83567376442687,-65.25686861494134,-624.1452822474257,-4197.282408822553,0.6100654306276075,2.5955130656805068,8.349664976847572,4.563538046882019,-114.47842157014317,-568.768293459971,-696.2779483907019,-838.5905534345991
2022-01-11,4.11496639633957,101.42938301539505,0.1677036062934702,0.1677036062934702,0.1677036062934702,0.1677036062934702,2.06623335843522,2.06623335843522,2.06623335843522,2.06623335843522,-0.2563023371554958,-0.8421097250406928,-1.463059017949383,-2.156329176201225,0.2380220727471193,0.0970754201662975,0.0108134771728397,-0.0037999683627554,-2.2249215493482235,-17.924158374602428,-279.56052432786714,1172.5043080104465,1.509544940758747,3.514015878880306,9.258246369591747,5.883298654153167,-15.100998600383047,-173.99952053417906,-302.3021348246488,-445.5479275634109
2022-01-12,3.3058276103808293,104.7824635641569,3.4790752087947525,3.4790752087947525,3.4790752087947525,3.4790752087947525,2.8646546537265705,2.8646546537265705,2.8646546537265705,2.8646546537265705,0.971073829093818,0.544605021826726,0.0939545180265438,-0.4093501341969619,0.915948981595295,0.1720397133813599,0.0281764259978619,-0.0159811215559396,3.037059071544226,9.068285918150249,9.55221387282402,73.3770006583232,2.014749572511123,3.8993638121687617,8.455454042895528,5.327503312844986,86.89381768688446,156.0105310218791,26.91472473033758,-117.2646766930923
2022-01-13,2.412816621221814,107.31067226115856,5.975835534919165,5.975835534919165,5.975835534919165,5.975835534919165,3.642206485705879,3.642206485705879,3.642206485705879,3.642206485705879,1.4492729916511276,1.1107534179314245,0.754131047682981,0.3557092892978259,1.3889406986211514,0.2666035203650803,0.0517642212506467,-0.0111702710009167,3.800415305700449,15.174568202512372,53.06176595690229,-115.98346006108969,2.833840990408474,3.821353213331377,7.536474749219264,4.892551733638641,178.09532205871315,404.55933028098065,274.6700992943123,129.55666805063703
2022-01-14,2.0899955932836445,109.55346058253984,8.190725827544513,8.190725827544513,8.190725827544513,8.190725827544513,4.325543413403868,4.325543413403868,4.325543413403868,4.325543413403868,1.73237003220335,1.4447225279963805,1.142603520189005,0.8049629779791861,1.996174464906265,0.3842680704685993,0.1111829865016254,0.001753530677298,3.753901231637746,16.262631468574195,44.45267469779084,1985.6523484362783,2.894946377429686,3.690568650100857,7.033874853371987,4.698239805537535,270.28071617206587,624.9210015170929,494.23811308856244,348.1902307431832
2022-01-17,-0.3269105452572862,109.19531876720124,7.837038935823879,7.837038935823879,7.837038935823879,7.837038935823879,4.657175566143731,4.657175566143731,4.657175566143731,4.657175566143731,1.5330654361752407,1.2634800240502757,0.9811699053902304,0.6655649796431194,2.813213172372811,0.4757609625789591,0.1535806482847421,0.02122335995802,2.537935966165255,12.368077162995618,29.7529705770418,146.04911602149835,2.547886173291866,3.423053472645877,6.810012554664342,4.381109735068084,273.1450202862261,588.4248296317637,456.94805096189367,309.9652960874885
2022-01-18,0.3402980577850378,109.5669083161582,8.20400628489538,8.20400628489538,8.20400628489538,8.20400628489538,4.83807864382452,4.83807864382452,4.83807864382452,4.83807864382452,1.551591611539456,1.2897557130897268,1.01636019494896,0.7106230214419358,3.8068787080223614,1.0763579847666642,0.1799485654912825,0.0261984414198369,1.971883743999289,5.797271595102984,27.325755780221,131.23109152764582,2.049599015529775,2.826984792238412,7.009889422027569,4.544588613645144,302.7185793269898,623.9939571250072,491.723055361589,343.80500638482835
