,SPX FALCON ARMATA ADVISORY FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM ACOES,Close,Retorno(1M),Retorno(3M),Retorno(6M),Retorno(12M),Volatilidade(%/1M),Volatilidade(%/3M),Volatilidade(%/6M),Volatilidade(%/12M),Sharpe(1M),Sharpe(3M),Sharpe(6M),Sharpe(12M),Beta(1M),Beta(3M),Beta(6M),Beta(12M),Treynor(1M),Treynor(3M),Treynor(6M),Treynor(12M),InfoRatio(1M),InfoRatio(3M),InfoRatio(6M),InfoRatio(12M),Sortino(1M),Sortino(3M),Sortino(6M),Sortino(12M)
2022-01-05,-2.3673734084718623,96.89256520028684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-06,-0.3942797149762866,96.51053747038192,-2.7523190503208057,-2.7523190503208057,-2.7523190503208057,-2.7523190503208057,1.5325899967092529,1.5325899967092529,1.5325899967092529,1.5325899967092529,-2.2508323184261885,-3.018558185323782,-3.840202814317059,-4.756608978666805,0.2209285377593152,0.0430864766503626,0.0119153461960265,0.0034419301264341,-15.614112737431649,-107.37039644370944,-493.93918747570353,-2117.9777250488987,1.6637783714800571,2.402874155609042,12.433321506350811,5.001928618723546,-344.9603095489872,-462.6212079312063,-588.5456418557045,-728.9931338962162
2022-01-07,1.0801084588992316,97.55295594932863,-1.7019386222999773,-1.7019386222999773,-1.7019386222999773,-1.7019386222999773,1.2379851696639153,1.2379851696639153,1.2379851696639153,1.2379851696639153,-1.938005984450022,-2.8975298631845505,-3.921103741650505,-5.063119346178556,0.1051294943576247,0.0257916396181057,0.0064210179940832,0.0016409649281016,-22.821594283593505,-139.0799131964704,-755.9966792415305,-3819.744441496938,0.739721332425485,2.9675184083355304,11.229910042093302,6.77141892042405,-239.92226674690434,-358.7098999280787,-485.42682808770127,-626.8066662807511
2022-01-10,-0.382662227048236,97.17965763554156,-2.078088173113115,-2.078088173113115,-2.078088173113115,-2.078088173113115,1.089620545654108,1.089620545654108,1.089620545654108,1.089620545654108,-2.5470997489461835,-3.647615823797339,-4.8178365528327465,-6.12391145763794,0.1010213228429233,0.0524249748950592,0.0080513288363247,0.0017093298291117,-27.47313280184987,-75.81342961476923,-652.0182941585437,-3903.716901422452,1.802852020715259,4.760048124921276,14.930700939246922,8.096709516098604,-277.53722182821815,-397.45171442626145,-524.9613693569923,-667.2739744008895
2022-01-11,1.2982352806624409,98.44127823659312,-0.8068313662773132,-0.8068313662773132,-0.8068313662773132,-0.8068313662773132,1.0421282215099328,1.0421282215099328,1.0421282215099328,1.0421282215099328,-1.4433112743718588,-2.6047948053642664,-3.8359543847927258,-5.2105049418366,0.1214247901011906,0.0518355390514288,0.0072992075885744,0.0003409912761879,-12.38721854238257,-52.36812865434551,-547.669904206414,-15924.202838587384,1.536270505706152,4.850375492869744,17.075901049812916,9.706507647165806,-150.41154114463797,-271.4530177912574,-399.7556320817272,-543.0014248204892
2022-01-12,1.9000384342715115,100.31170035827655,1.077876961935178,1.077876961935178,1.077876961935178,1.077876961935178,1.373911624747696,1.373911624747696,1.373911624747696,1.373911624747696,0.2770141178738504,-0.6121885290804212,-1.5518108742603638,-2.601218993577404,0.4118706440847288,0.0835483789497242,0.0145302765234776,-0.0051182753627498,0.9240593429810382,-10.067136516758952,-146.7316190515227,698.2518056376015,1.3222839222450196,5.974204208676017,18.26644291764345,8.6356438216474,38.05929167661115,-84.10929366407835,-213.20509995561986,-357.38450137904977
2022-01-13,-0.1916696915014726,100.11943323165995,0.8841413069859898,0.8841413069859898,0.8841413069859898,0.8841413069859898,1.4746277473566305,1.4746277473566305,1.4746277473566305,1.4746277473566305,0.1267148689910911,-0.7094000007788914,-1.5902272551114072,-2.5742954818472787,0.5157661710795739,0.1063105677466135,0.0197068770286727,-0.0037672979184675,0.3622906508695671,-9.840046453488082,-118.99365036774638,1007.6526013029072,1.8283459243250533,6.158680061314098,19.27216644248088,8.277217405270525,18.68572618169233,-104.61009251233686,-234.4993234990052,-379.61275474268047
2022-01-14,1.1999093871281064,101.32077570934612,2.094659588652122,2.094659588652122,2.094659588652122,2.094659588652122,1.6904982044596557,1.6904982044596557,1.6904982044596557,1.6904982044596557,0.8266057543253691,0.0905909133026781,-0.6824527260444659,-1.546386695096278,0.7122803564369601,0.1454698622416648,0.0390802917357957,0.000488952857386,1.9618336106770475,1.0527526040007136,-29.52089293003015,-5346.453941257629,2.511574456487113,6.716224974239423,18.81076688105109,8.646447140445352,139.73755434830557,15.31437762785377,-115.36851080067669,-261.41639314605595
2022-01-17,-0.484451685579812,100.82992550357964,1.600060289387916,1.600060289387916,1.600060289387916,1.600060289387916,1.7452379643706428,1.7452379643706428,1.7452379643706428,1.7452379643706428,0.5172797421607792,-0.2021101748411281,-0.9554560299851996,-1.7976492315719483,0.9483624226219326,0.1743725263006547,0.0500429925403449,0.0058541497247666,0.9519316905481648,-2.0228550770099205,-33.32131137986364,-535.9148352985044,1.8438231132886795,6.576022934052413,15.333610109354648,8.364909046494516,90.27762442188494,-35.27303501183252,-166.7498136817026,-313.7325685561077
2022-01-18,-0.5044581578688367,100.32128071880376,1.0875304968584385,1.0875304968584385,1.0875304968584385,1.0875304968584385,1.722588824627667,1.722588824627667,1.722588824627667,1.722588824627667,0.2265464898587872,-0.5088481965371682,-1.2767093359591557,-2.1354055428658314,1.1149848056204663,0.3004280579543209,0.053503400575736,0.0066035478483642,0.3500015872164355,-2.917624348256257,-41.10477485086093,-557.037793721728,-0.2923387871541738,3.128835828660975,14.27517060805331,9.043773232341522,2.5625209350353146,-87.65362167868686,-219.92452344210514,-367.84257241886576
2022-01-19,1.0562579971351127,101.38093226922447,2.155275621837881,2.155275621837881,2.155275621837881,2.155275621837881,1.7637708428188312,1.7637708428188312,1.7637708428188312,1.7637708428188312,0.8266332231338368,0.1020152859663135,-0.6524209170342675,-1.496372756948509,1.1577246249579711,0.5135517062724072,0.0650495279776938,0.0186008677038976,1.2593595620562563,0.3503670316183632,-17.689920687891227,-141.88900650807722,-0.1267101938561267,2.892067257596135,14.618474057303963,7.557340042779289,9.08062142705774,17.993158690920886,-115.07209907101647,-263.925863869421
2022-01-20,2.3478145033319464,103.76116850065448,4.55369199880613,4.55369199880613,4.55369199880613,4.55369199880613,2.0554564994269846,2.0554564994269846,2.0554564994269846,2.0554564994269846,1.8761807679764293,1.2489047547477714,0.5976633066536321,-0.1310794447844397,1.3624405962935502,1.243832233071306,0.0927116503307431,0.0404218327555007,2.830514566380526,2.0638389382890407,13.250448285061658,-6.665410209209101,0.5023590633668634,1.7674937614861794,16.665836354579806,9.272825464621148,25.0863689744617,256.7069395311571,122.84709281302311,-26.942809672345724
