,SQUADRA LB FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO DE ACOES ACCESS,Close,Retorno(1M),Retorno(3M),Retorno(6M),Retorno(12M),Volatilidade(%/1M),Volatilidade(%/3M),Volatilidade(%/6M),Volatilidade(%/12M),Sharpe(1M),Sharpe(3M),Sharpe(6M),Sharpe(12M),Beta(1M),Beta(3M),Beta(6M),Beta(12M),Treynor(1M),Treynor(3M),Treynor(6M),Treynor(12M),InfoRatio(1M),InfoRatio(3M),InfoRatio(6M),InfoRatio(12M),Sortino(1M),Sortino(3M),Sortino(6M),Sortino(12M)
2022-01-05,-3.2854291479259445,95.62973637812811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-06,-0.5857796969601758,95.06955679816852,-3.8519634679795502,-3.8519634679795502,-3.8519634679795502,-3.8519634679795502,2.163090196539423,2.163090196539423,2.163090196539423,2.163090196539423,-2.1031242804514765,-2.6470724642602543,-3.2292231028510807,-3.878514067533016,0.3091969502532168,0.0603009792784764,0.0166759294312458,0.0048170974599828,-14.713106029742566,-94.9546187389128,-418.87325471213376,-1741.6246663713675,0.7955756958495962,1.4198720825931423,7.467266459168478,3.4111799388743043,-454.9247513148616,-572.5856496970807,-698.5100836215789,-838.9575756620907
2022-01-07,0.2146684304240143,95.27364112355822,-3.645563987072748,-3.645563987072748,-3.645563987072748,-3.645563987072748,1.8809132934737545,1.8809132934737545,1.8809132934737545,1.8809132934737545,-2.3089038964795923,-2.9404462094258315,-3.6141451438705774,-4.365800409871399,0.0404233338887476,0.0238208997524937,0.0044043502947997,0.0007390593442435,-107.43418749661087,-232.17949034333063,-1543.4498145336408,-11111.004943704156,-0.0887189741822362,1.2688205329958413,5.951273433522259,3.8451872087432775,-26.374369418685504,-553.0724364053558,-679.7893645649783,-821.1692027580281
2022-01-10,-0.2194423099863285,95.0645704446686,-3.8570063872338105,-3.8570063872338105,-3.8570063872338105,-3.8570063872338105,1.7195470904088128,1.7195470904088128,1.7195470904088128,1.7195470904088128,-2.648540687141124,-3.345901598435122,-4.087432060973465,-4.915048855172821,0.0828548279497612,0.0846286330606762,0.0095705222416031,0.0014657629401159,-54.967109884826,-67.98450063890633,-734.393769771263,-5766.046969001212,0.5727110950499436,2.5878469915753333,8.149517040668746,4.558526757796525,-31.93725187212904,-575.343535838331,-702.8531907690618,-845.165795812959
2022-01-11,3.284755936814765,98.1872095661573,-0.6989436967070364,-0.6989436967070364,-0.6989436967070364,-0.6989436967070364,1.7484898442137051,1.7484898442137051,1.7484898442137051,1.7484898442137051,-0.7985335153627876,-1.490796481871762,-2.2245874999612463,-3.043841859446414,0.160701713211767,0.0888080412264589,0.0090645519291829,-0.0022719741161968,-8.688318960459393,-29.35142440193457,-429.1076582312237,2342.5119770042347,1.1414249485759629,3.362747924752449,9.63082704203167,6.11846449301961,-10.946822850219087,-260.6642508342297,-388.9668651246995,-532.2126578634615
2022-01-12,2.3366395240800086,100.4814907124714,1.6213640327046424,1.6213640327046424,1.6213640327046424,1.6213640327046424,2.2016410081050592,2.2016410081050592,2.2016410081050592,2.2016410081050592,0.4197232810134321,-0.1351745651428736,-0.7215363099336539,-1.3764087477772984,0.6200269872989385,0.1385068747181677,0.0206806540805374,-0.0105598626500427,1.490386719392977,-2.148672161413536,-76.81400803864007,286.9694468051419,1.2608980751983268,4.00664002744991,9.814162607262244,5.882189974008758,7.936554725992405,-29.76058658713192,-158.85639287867343,-303.03579430210334
2022-01-13,-0.4499243104053918,100.02940005829826,1.1641448113559545,1.1641448113559545,1.1641448113559545,1.1641448113559545,2.320399274397833,2.320399274397833,2.320399274397833,2.320399274397833,0.2011984624103293,-0.3301575850355383,-0.8899286228039238,-1.515309921810465,0.7746501182212568,0.1721486694146513,0.0285061320008184,-0.0081642050749495,0.6026730716299232,-4.450208202934868,-72.44019394005481,430.6756151735433,1.535946031077988,3.897728773082368,9.975090362494136,5.513159911298617,4.330950534555069,-76.60974207534039,-206.49897306200876,-351.61240430568404
2022-01-14,0.7993381104636876,100.82897317463242,1.97278837495779,1.97278837495779,1.97278837495779,1.97278837495779,2.444857638875514,2.444857638875514,2.444857638875514,2.444857638875514,0.5217090392123518,0.012791158915326,-0.5217303050364018,-1.119097939139435,0.9871792367726124,0.2178165448878652,0.0500732200202433,-0.0029974913747576,1.2920696488296624,0.1435729439207886,-25.47382255795463,912.774985174444,1.8261434882676544,4.262912095769357,9.987137259310822,5.749554618147641,12.64951154494093,3.127256258420541,-127.55563217010992,-273.60351451548917
2022-01-17,-0.7476802980316721,100.07509480749806,1.2103579269247038,1.2103579269247038,1.2103579269247038,1.2103579269247038,2.4391163172786428,2.4391163172786428,2.4391163172786428,2.4391163172786428,0.2103523633215168,-0.3043859398267157,-0.8434204161183614,-1.4460269988105552,1.2471334163607743,0.253900230022102,0.0605042600372027,0.0029108615943673,0.4114025612855632,-2.924112012489743,-34.00091990242194,-1211.6783755192312,1.1755154732719209,4.177240735037581,9.241910570635564,5.452509068137348,5.396944935940969,-74.24327125815373,-205.7200499280238,-352.70280480242894
2022-01-18,-0.796061213003918,99.27843579385868,0.4046615239260252,0.4046615239260252,0.4046615239260252,0.4046615239260252,2.367058828334544,2.367058828334544,2.367058828334544,2.367058828334544,-0.123622834270211,-0.658794437659361,-1.217592977772045,-1.842495270888416,1.3620205984106415,0.3751062963040175,0.0619723687487641,0.003677037087768,-0.2148444168792352,-4.157235442551489,-46.50643933004323,-1186.089395624895,-0.5889081258694981,1.9395583910744392,8.986668128696646,5.799625378561031,-0.7718547354675164,-155.94051897192819,-288.21142073534645,-436.1294697121071
