,TARPON GT FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM ACOES,Close,Retorno(1M),Retorno(3M),Retorno(6M),Retorno(12M),Volatilidade(%/1M),Volatilidade(%/3M),Volatilidade(%/6M),Volatilidade(%/12M),Sharpe(1M),Sharpe(3M),Sharpe(6M),Sharpe(12M),Beta(1M),Beta(3M),Beta(6M),Beta(12M),Treynor(1M),Treynor(3M),Treynor(6M),Treynor(12M),InfoRatio(1M),InfoRatio(3M),InfoRatio(6M),InfoRatio(12M),Sortino(1M),Sortino(3M),Sortino(6M),Sortino(12M)
2022-01-05,-1.994592122188532,97.04701260059343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-06,-0.6241678714829835,96.4412763277065,-2.606310390477685,-2.606310390477685,-2.606310390477685,-2.606310390477685,1.3994016321950775,1.3994016321950775,1.3994016321950775,1.3994016321950775,-2.36071929576414,-3.2015136444005514,-4.1013584854200325,-5.104983812197794,0.2092084285969788,0.0408007682720595,0.0112832451576509,0.0032593380664854,-15.790924188866352,-109.80683965544348,-508.66995075633366,-2191.8323700684587,1.8331857397081848,2.587153294790668,13.543845015057272,5.2956311197261785,-330.35944356467513,-448.02034194689423,-573.9447758713924,-714.3922679119041
2022-01-07,0.4085722519936219,96.83530862225,-2.2083867995403907,-2.2083867995403907,-2.2083867995403907,-2.2083867995403907,1.1891040311406216,1.1891040311406216,1.1891040311406216,1.1891040311406216,-2.4435800137034747,-3.4425475562424563,-4.508198036277178,-5.697159090066848,0.0491608976431626,0.0186265680507973,0.0039165746398137,0.0008183965150627,-59.10532524854301,-219.7692653503058,-1368.7257236523444,-8277.790429653658,0.4659915311905697,2.511505471898692,9.449741726871922,6.176053537780401,-290.5670844709457,-409.35471765212003,-536.0716458117427,-677.4514840047924
2022-01-10,-0.9561729889371872,95.9093955574501,-3.1434437904091004,-3.1434437904091004,-3.1434437904091004,-3.1434437904091004,1.234429313005554,1.234429313005554,1.234429313005554,1.234429313005554,-3.1113388147166323,-4.082755252536622,-5.115699412135959,-6.26856092915064,0.0878917570710913,0.0790914952753515,0.0090520981732403,0.0015081813881679,-43.69838496312677,-63.722056891359,-697.6249251841017,-5130.745825410907,1.0608609565094267,4.074273509184426,12.088015607865474,6.378099335990426,-384.0727835578167,-503.98727615586,-631.4969310865908,-773.809536130488
2022-01-11,0.972496907176046,96.84211146293754,-2.2015167768736013,-2.2015167768736013,-2.2015167768736013,-2.2015167768736013,1.097013823892413,1.097013823892413,1.097013823892413,1.097013823892413,-2.6424469399639587,-3.7458193315455097,-4.915381751782182,-6.221161037502565,0.0507140474241619,0.0690608314021729,0.0077416130333769,0.002657158350246,-57.15972140416425,-59.50139181758492,-696.5269005523334,-2568.420379677165,0.5608414516999852,3.607006762589819,13.565340426552352,8.42088758724394,-289.8800822042668,-410.9215588508862,-539.2241731413559,-682.4699658801179
2022-01-12,1.5836769235904935,98.37577763449386,-0.6527047664474349,-0.6527047664474349,-0.6527047664474349,-0.6527047664474349,1.1156596828814882,1.1156596828814882,1.1156596828814882,1.1156596828814882,-1.2100363868395745,-2.305070896154786,-3.462196211986915,-4.754520418334932,0.1822071596118212,0.0812422271368734,0.0106346479849968,-0.0001009871210063,-7.4090876258241,-31.654408743506625,-363.2120906482429,52525.77446823341,0.1684460160344418,4.72510186140685,15.303605354115012,8.973656636536086,-134.99888116165013,-257.16746650233966,-386.26327279388113,-530.442674217311
2022-01-13,-1.1212250486455466,97.27276377385608,-1.766611525757854,-1.766611525757854,-1.766611525757854,-1.766611525757854,1.044858311009683,1.044858311009683,1.044858311009683,1.044858311009683,-2.3581145356885496,-3.538138826014423,-4.781266526852175,-6.17010011045498,0.1502920227436116,0.0762180540267954,0.0087521858526124,-0.000173513143458,-16.3940542282152,-48.5036492347015,-570.799815253322,37154.997320022376,0.0016630641843575,3.917546797257367,12.643851765918718,8.313680760294154,-246.3895570926921,-369.68537578672124,-499.57460677338963,-644.6880380170649
2022-01-14,0.5804664688864314,97.8373995509224,-1.1963996444139582,-1.1963996444139582,-1.1963996444139582,-1.1963996444139582,0.9943696678357988,0.9943696678357988,0.9943696678357988,0.9943696678357988,-1.9044061286629368,-3.155683000284065,-4.469911427152273,-5.93865979176446,0.1728486644457062,0.0831481307817086,0.0110337776701877,0.000374509191702,-10.955732262414172,-37.73885747384521,-402.8306962430607,-15767.899147387212,0.0454389382147181,4.644777937611385,8.881028981510537,8.910476539319951,-189.36836895830245,-313.79154567875423,-444.4744341072847,-590.522316452664
2022-01-17,0.7618052979477818,98.58273004407567,-0.4437085823419406,-0.4437085823419406,-0.4437085823419406,-0.4437085823419406,1.019027648291866,1.019027648291866,1.019027648291866,1.019027648291866,-1.119687605555731,-2.3517509322394607,-3.641968905130153,-5.084351308794896,0.2885655573998983,0.099386083662983,0.0180037847978456,0.0033308714103937,-3.9540152947976495,-24.11302602459597,-206.1381565164557,-1555.4772066924502,0.1628579095757636,5.803625569140067,8.286086467872504,9.237345753566524,-114.09926275110071,-239.64992218481814,-371.12670085468824,-518.1094557290934
2022-01-18,-1.0971142026414804,97.5011649114104,-1.5359547951082202,-1.5359547951082202,-1.5359547951082202,-1.5359547951082202,0.9778082013224824,0.9778082013224824,0.9778082013224824,0.9778082013224824,-2.2839232042202537,-3.5794560773981647,-4.932184573482799,-6.444935732418692,0.2582422462857289,0.1077891778735374,0.0162067835473402,0.0029184408872685,-8.647844697750761,-32.47099178045401,-297.5748094802685,-2159.341668918831,-1.2830715331267248,1.2694598619462312,7.268900831472677,9.444188885887058,-2.2743848570358907,-350.00215087535275,-482.273052638771,-630.1911016155317
